"Date","Price","Open","High","Low","Change %"
"Jun 14, 1999","1.0153","1.0084","1.0168","1.0035","0.60%"
"Jun 11, 1999","1.0092","1.0057","1.0144","1.0038","0.27%"
"Jun 10, 1999","1.0065","1.0038","1.0114","0.9984","0.37%"
"Jun 09, 1999","1.0028","1.0001","1.0117","0.9965","0.20%"
"Jun 08, 1999","1.0008","1.0151","1.0188","0.9967","-1.53%"
"Jun 07, 1999","1.0164","1.0083","1.0185","1.0059","0.67%"
"Jun 04, 1999","1.0096","0.9995","1.0127","0.9967","0.88%"
"Jun 03, 1999","1.0008","0.9904","1.0029","0.9833","1.07%"
"Jun 02, 1999","0.9902","0.9798","0.9942","0.9780","0.94%"
"Jun 01, 1999","0.9810","0.9899","0.9918","0.9744","-0.99%"
"May 31, 1999","0.9908","0.9949","0.9958","0.9856","-0.60%"
"May 28, 1999","0.9968","0.9901","0.9987","0.9855","0.64%"
"May 27, 1999","0.9905","0.9896","0.9987","0.9846","0.08%"
"May 26, 1999","0.9897","0.9734","0.9900","0.9698","1.66%"
"May 25, 1999","0.9735","0.9937","0.9971","0.9719","-2.20%"
"May 24, 1999","0.9954","0.9966","1.0004","0.9912","-0.18%"
"May 21, 1999","0.9972","0.9974","1.0081","0.9955","0.02%"
"May 20, 1999","0.9970","0.9906","0.9998","0.9889","0.52%"
"May 19, 1999","0.9918","0.9998","1.0008","0.9889","-0.70%"
"May 18, 1999","0.9988","0.9975","1.0112","0.9963","-0.02%"
"May 17, 1999","0.9990","0.9952","1.0024","0.9930","0.13%"
"May 14, 1999","0.9977","1.0037","1.0078","0.9931","-0.57%"
"May 13, 1999","1.0034","1.0036","1.0093","0.9966","0.02%"
"May 12, 1999","1.0032","1.0054","1.0129","0.9968","-0.31%"
"May 11, 1999","1.0063","0.9919","1.0114","0.9892","1.34%"
"May 10, 1999","0.9930","1.0055","1.0069","0.9910","-1.17%"
"May 07, 1999","1.0048","0.9980","1.0072","0.9886","0.60%"
"May 06, 1999","0.9988","0.9919","1.0058","0.9900","0.68%"
"May 05, 1999","0.9921","0.9960","0.9988","0.9858","-0.52%"
"May 04, 1999","0.9973","1.0089","1.0100","0.9956","-1.36%"
"May 03, 1999","1.0110","1.0047","1.0155","1.0034","0.29%"
"Apr 30, 1999","1.0081","1.0008","1.0116","0.9962","0.57%"
"Apr 29, 1999","1.0024","0.9896","1.0042","0.9858","1.34%"
"Apr 28, 1999","0.9891","0.9792","0.9915","0.9780","1.02%"
"Apr 27, 1999","0.9791","0.9812","0.9833","0.9726","-0.32%"
"Apr 26, 1999","0.9822","0.9824","0.9900","0.9759","-0.11%"
"Apr 23, 1999","0.9833","0.9779","0.9876","0.9768","0.30%"
"Apr 22, 1999","0.9804","0.9761","0.9854","0.9713","0.42%"
"Apr 21, 1999","0.9763","0.9743","0.9808","0.9723","0.19%"
"Apr 20, 1999","0.9744","0.9760","0.9807","0.9715","-0.37%"
"Apr 19, 1999","0.9780","0.9665","0.9852","0.9665","0.98%"
"Apr 16, 1999","0.9685","0.9632","0.9714","0.9614","0.43%"
"Apr 15, 1999","0.9644","0.9402","0.9659","0.9382","2.33%"
"Apr 14, 1999","0.9424","0.9478","0.9519","0.9391","-0.65%"
