"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","0.6527","0.6526","0.6553","0.6515","0.00%"
"Aug 20, 2020","0.6527","0.6572","0.6581","0.6504","-0.67%"
"Aug 19, 2020","0.6571","0.6547","0.6605","0.6535","0.43%"
"Aug 18, 2020","0.6543","0.6540","0.6557","0.6518","0.06%"
"Aug 17, 2020","0.6539","0.6525","0.6546","0.6508","0.32%"
"Aug 14, 2020","0.6518","0.6504","0.6531","0.6492","0.25%"
"Aug 13, 2020","0.6502","0.6533","0.6546","0.6497","-0.43%"
"Aug 12, 2020","0.6530","0.6550","0.6562","0.6506","-0.26%"
"Aug 11, 2020","0.6547","0.6549","0.6579","0.6539","0.02%"
"Aug 10, 2020","0.6546","0.6543","0.6578","0.6525","0.22%"
"Aug 07, 2020","0.6532","0.6580","0.6598","0.6528","-0.77%"
"Aug 06, 2020","0.6582","0.6535","0.6593","0.6515","0.74%"
"Aug 05, 2020","0.6534","0.6541","0.6575","0.6528","-0.08%"
"Aug 04, 2020","0.6539","0.6538","0.6563","0.6514","0.02%"
"Aug 03, 2020","0.6538","0.6524","0.6561","0.6495","0.26%"
"Jul 31, 2020","0.6521","0.6539","0.6557","0.6508","-0.27%"
"Jul 30, 2020","0.6539","0.6560","0.6567","0.6496","-0.33%"
"Jul 29, 2020","0.6560","0.6571","0.6595","0.6546","-0.16%"
"Jul 28, 2020","0.6571","0.6578","0.6605","0.6543","-0.11%"
"Jul 27, 2020","0.6578","0.6546","0.6590","0.6526","0.57%"
"Jul 24, 2020","0.6540","0.6569","0.6586","0.6531","-0.44%"
"Jul 23, 2020","0.6569","0.6639","0.6653","0.6567","-1.04%"
"Jul 22, 2020","0.6639","0.6651","0.6689","0.6630","-0.18%"
"Jul 21, 2020","0.6651","0.6586","0.6672","0.6579","0.99%"
"Jul 20, 2020","0.6586","0.6563","0.6594","0.6549","0.27%"
"Jul 17, 2020","0.6568","0.6590","0.6610","0.6555","-0.35%"
"Jul 16, 2020","0.6591","0.6615","0.6629","0.6581","-0.40%"
"Jul 15, 2020","0.6618","0.6554","0.6632","0.6547","0.96%"
"Jul 14, 2020","0.6554","0.6534","0.6561","0.6511","0.30%"
"Jul 13, 2020","0.6535","0.6545","0.6583","0.6529","-0.07%"
"Jul 10, 2020","0.6539","0.6548","0.6557","0.6522","-0.11%"
"Jul 09, 2020","0.6547","0.6552","0.6564","0.6532","-0.08%"
"Jul 08, 2020","0.6552","0.6547","0.6557","0.6524","0.09%"
"Jul 07, 2020","0.6546","0.6568","0.6588","0.6536","-0.37%"
"Jul 06, 2020","0.6571","0.6563","0.6583","0.6543","0.07%"
"Jul 03, 2020","0.6566","0.6544","0.6573","0.6539","0.33%"
"Jul 02, 2020","0.6544","0.6540","0.6560","0.6528","0.06%"
"Jul 01, 2020","0.6540","0.6539","0.6571","0.6520","0.02%"
"Jun 30, 2020","0.6539","0.6531","0.6553","0.6502","0.12%"
"Jun 29, 2020","0.6531","0.6507","0.6536","0.6485","0.37%"
"Jun 26, 2020","0.6507","0.6530","0.6542","0.6492","-0.36%"
"Jun 25, 2020","0.6531","0.6515","0.6538","0.6496","0.30%"
"Jun 24, 2020","0.6511","0.6551","0.6576","0.6503","-0.53%"
"Jun 23, 2020","0.6546","0.6548","0.6587","0.6507","0.00%"
"Jun 22, 2020","0.6546","0.6515","0.6564","0.6475","0.58%"
