"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","6.4511","6.4155","6.4809","6.4005","0.60%"
"Aug 20, 2020","6.4126","6.4046","6.4380","6.3799","0.15%"
"Aug 19, 2020","6.4032","6.4040","6.4282","6.3850","-0.01%"
"Aug 18, 2020","6.4037","6.3844","6.4194","6.3660","0.38%"
"Aug 17, 2020","6.3797","6.3790","6.4037","6.3566","0.17%"
"Aug 14, 2020","6.3691","6.3507","6.3931","6.3405","0.33%"
"Aug 13, 2020","6.3484","6.4028","6.4250","6.3452","-0.85%"
"Aug 12, 2020","6.4031","6.4397","6.4606","6.3826","-0.54%"
"Aug 11, 2020","6.4377","6.4623","6.4758","6.4170","-0.34%"
"Aug 10, 2020","6.4594","6.4822","6.4971","6.4285","-0.18%"
"Aug 07, 2020","6.4710","6.4877","6.5116","6.4534","-0.29%"
"Aug 06, 2020","6.4900","6.4373","6.5025","6.4225","0.81%"
"Aug 05, 2020","6.4378","6.5145","6.5417","6.4359","-1.24%"
"Aug 04, 2020","6.5188","6.5061","6.5357","6.4917","0.20%"
"Aug 03, 2020","6.5061","6.5162","6.5467","6.4633","0.03%"
"Jul 31, 2020","6.5040","6.5297","6.5533","6.4877","-0.40%"
"Jul 30, 2020","6.5297","6.4886","6.5595","6.4762","0.59%"
"Jul 29, 2020","6.4913","6.5272","6.5482","6.4830","-0.55%"
"Jul 28, 2020","6.5272","6.5022","6.5345","6.4847","0.38%"
"Jul 27, 2020","6.5022","6.5122","6.5374","6.4675","-0.09%"
"Jul 24, 2020","6.5079","6.5492","6.5592","6.4900","-0.61%"
"Jul 23, 2020","6.5477","6.5257","6.5589","6.5078","0.32%"
"Jul 22, 2020","6.5271","6.4955","6.5507","6.4727","0.51%"
"Jul 21, 2020","6.4941","6.4736","6.5085","6.4620","0.36%"
"Jul 20, 2020","6.4711","6.5101","6.5166","6.4688","-0.50%"
"Jul 17, 2020","6.5037","6.4840","6.5083","6.4704","0.32%"
"Jul 16, 2020","6.4831","6.4960","6.5348","6.4788","-0.23%"
"Jul 15, 2020","6.4978","6.5427","6.5641","6.4914","-0.73%"
"Jul 14, 2020","6.5455","6.5556","6.5833","6.5367","-0.17%"
"Jul 13, 2020","6.5566","6.5540","6.6081","6.5352","0.08%"
"Jul 10, 2020","6.5512","6.5925","6.6180","6.5387","-0.62%"
"Jul 09, 2020","6.5925","6.5487","6.6016","6.5289","0.67%"
"Jul 08, 2020","6.5487","6.5808","6.6057","6.5448","-0.49%"
"Jul 07, 2020","6.5808","6.5532","6.5977","6.5297","0.39%"
"Jul 06, 2020","6.5550","6.5820","6.6179","6.5325","-0.34%"
"Jul 03, 2020","6.5777","6.5987","6.6249","6.5609","-0.32%"
"Jul 02, 2020","6.5987","6.5799","6.6125","6.5403","0.29%"
"Jul 01, 2020","6.5798","6.6434","6.6753","6.5729","-0.96%"
"Jun 30, 2020","6.6434","6.6407","6.6877","6.6294","0.04%"
"Jun 29, 2020","6.6407","6.6578","6.6905","6.6047","-0.24%"
"Jun 26, 2020","6.6568","6.6529","6.6903","6.6332","0.07%"
"Jun 25, 2020","6.6521","6.6425","6.6818","6.6237","0.20%"
"Jun 24, 2020","6.6386","6.6044","6.6585","6.5766","0.59%"
"Jun 23, 2020","6.5996","6.6350","6.6744","6.5806","-0.50%"
"Jun 22, 2020","6.6331","6.5970","6.6424","6.5440","0.66%"
"Jun 19, 2020","6.5897","6.5430","6.6583","6.5175","0.70%"
