"Date","Price","Open","High","Low","Change %"
"Apr 05, 2019","2.7181","2.7177","2.7249","2.7112","0.01%"
"Apr 04, 2019","2.7178","2.7166","2.7229","2.7126","0.07%"
"Apr 03, 2019","2.7160","2.7115","2.7249","2.7039","0.13%"
"Apr 02, 2019","2.7125","2.7231","2.7346","2.7069","-0.41%"
"Apr 01, 2019","2.7238","2.7307","2.7365","2.7214","0.03%"
"Mar 29, 2019","2.7231","2.7081","2.7277","2.7056","0.54%"
"Mar 28, 2019","2.7085","2.7058","2.7153","2.6987","0.12%"
"Mar 27, 2019","2.7052","2.7165","2.7189","2.6970","-0.45%"
"Mar 26, 2019","2.7174","2.6978","2.7208","2.6947","0.72%"
"Mar 25, 2019","2.6980","2.6921","2.6999","2.6883","0.13%"
"Mar 22, 2019","2.6944","2.6795","2.7064","2.6713","0.54%"
"Mar 21, 2019","2.6799","2.6683","2.6894","2.6662","0.46%"
"Mar 20, 2019","2.6675","2.6756","2.6816","2.6633","-0.36%"
"Mar 19, 2019","2.6771","2.6884","2.6930","2.6751","-0.44%"
"Mar 18, 2019","2.6889","2.6926","2.7016","2.6833","-0.09%"
"Mar 15, 2019","2.6914","2.6893","2.6970","2.6870","0.09%"
"Mar 14, 2019","2.6890","2.6926","2.6938","2.6789","-0.17%"
"Mar 13, 2019","2.6935","2.6977","2.6985","2.6835","-0.13%"
"Mar 12, 2019","2.6969","2.7036","2.7064","2.6938","-0.26%"
"Mar 11, 2019","2.7039","2.6936","2.7052","2.6896","0.16%"
"Mar 08, 2019","2.6995","2.7037","2.7090","2.6920","-0.16%"
"Mar 07, 2019","2.7038","2.6741","2.7078","2.6677","1.13%"
"Mar 06, 2019","2.6735","2.6944","2.6983","2.6649","-0.82%"
"Mar 05, 2019","2.6955","2.6887","2.6979","2.6800","0.25%"
"Mar 04, 2019","2.6888","2.6822","2.6947","2.6799","0.23%"
"Mar 01, 2019","2.6825","2.6862","2.6959","2.6774","-0.14%"
"Feb 28, 2019","2.6863","2.7101","2.7180","2.6808","-0.89%"
"Feb 27, 2019","2.7104","2.7273","2.7365","2.7026","-0.66%"
"Feb 26, 2019","2.7283","2.7381","2.7410","2.7200","-0.34%"
"Feb 25, 2019","2.7376","2.7273","2.7444","2.7238","0.39%"
"Feb 22, 2019","2.7270","2.7117","2.7328","2.7068","0.56%"
"Feb 21, 2019","2.7119","2.7370","2.7520","2.7067","-0.91%"
"Feb 20, 2019","2.7367","2.7363","2.7449","2.7294","0.02%"
"Feb 19, 2019","2.7361","2.7300","2.7401","2.7186","0.22%"
"Feb 18, 2019","2.7300","2.7352","2.7417","2.7275","-0.40%"
"Feb 15, 2019","2.7409","2.7248","2.7427","2.7157","0.64%"
"Feb 14, 2019","2.7235","2.7317","2.7433","2.7220","-0.28%"
"Feb 13, 2019","2.7311","2.7109","2.7340","2.7088","0.73%"
"Feb 12, 2019","2.7113","2.7088","2.7216","2.7048","0.09%"
"Feb 11, 2019","2.7088","2.6968","2.7121","2.6951","0.36%"
"Feb 08, 2019","2.6990","2.6963","2.7026","2.6809","0.06%"
"Feb 07, 2019","2.6974","2.6877","2.7012","2.6829","0.40%"
"Feb 06, 2019","2.6867","2.7184","2.7235","2.6814","-1.21%"
"Feb 05, 2019","2.7195","2.7075","2.7250","2.6944","0.44%"
"Feb 04, 2019","2.7075","2.7109","2.7165","2.6991","-0.23%"
"Feb 01, 2019","2.7138","2.7083","2.7197","2.6961","0.18%"
"Jan 31, 2019","2.7089","2.7046","2.7129","2.6970","0.13%"
"Jan 30, 2019","2.7053","2.6873","2.7163","2.6846","0.65%"
"Jan 29, 2019","2.6878","2.6917","2.6968","2.6817","-0.16%"
"Jan 28, 2019","2.6921","2.7005","2.7085","2.6873","-0.23%"
"Jan 25, 2019","2.6984","2.6898","2.6999","2.6812","0.29%"
"Jan 24, 2019","2.6905","2.6916","2.7004","2.6751","-0.02%"
"Jan 23, 2019","2.6910","2.6874","2.6978","2.6835","0.13%"
"Jan 22, 2019","2.6875","2.6978","2.7001","2.6828","-0.40%"
"Jan 21, 2019","2.6982","2.7045","2.7128","2.6928","-0.27%"
"Jan 18, 2019","2.7054","2.7071","2.7186","2.7010","-0.07%"
"Jan 17, 2019","2.7073","2.6938","2.7176","2.6892","0.50%"
"Jan 16, 2019","2.6938","2.7081","2.7170","2.6925","-0.53%"
"Jan 15, 2019","2.7081","2.6923","2.7138","2.6905","0.59%"
"Jan 14, 2019","2.6923","2.6959","2.7010","2.6846","-0.26%"
"Jan 11, 2019","2.6993","2.6832","2.7020","2.6799","0.57%"
"Jan 10, 2019","2.6839","2.6724","2.6856","2.6623","0.44%"
"Jan 09, 2019","2.6721","2.6810","2.6921","2.6690","-0.37%"
"Jan 08, 2019","2.6820","2.6770","2.6875","2.6715","0.19%"
"Jan 07, 2019","2.6769","2.6777","2.6845","2.6685","-0.06%"
"Jan 04, 2019","2.6785","2.6383","2.6818","2.6307","1.54%"
"Jan 03, 2019","2.6380","2.6421","2.6458","2.5697","-0.19%"
"Jan 02, 2019","2.6430","2.6398","2.6533","2.6225","0.16%"
"Jan 01, 2019","2.6389","2.6359","2.6513","2.6351","0.06%"
"Dec 31, 2018","2.6372","2.6472","2.6629","2.6348","-0.39%"
"Dec 28, 2018","2.6474","2.6422","2.6578","2.6384","0.20%"
"Dec 27, 2018","2.6422","2.6657","2.6695","2.6332","-0.89%"
"Dec 26, 2018","2.6660","2.6505","2.6705","2.6412","0.66%"
"Dec 25, 2018","2.6486","2.6500","2.6570","2.6429","-0.12%"
"Dec 24, 2018","2.6517","2.6562","2.6644","2.6406","-0.06%"
