"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","2.6784","2.6589","2.6844","2.6518","0.84%"
"Aug 20, 2020","2.6561","2.6695","2.6746","2.6465","-0.43%"
"Aug 19, 2020","2.6675","2.6561","2.6860","2.6523","0.45%"
"Aug 18, 2020","2.6555","2.6734","2.6773","2.6523","-0.62%"
"Aug 17, 2020","2.6720","2.6625","2.6778","2.6565","0.45%"
"Aug 14, 2020","2.6600","2.6624","2.6702","2.6569","0.03%"
"Aug 13, 2020","2.6591","2.6762","2.6801","2.6573","-0.53%"
"Aug 12, 2020","2.6734","2.6808","2.6854","2.6639","-0.21%"
"Aug 11, 2020","2.6789","2.6795","2.6913","2.6723","0.07%"
"Aug 10, 2020","2.6769","2.6818","2.6851","2.6727","-0.11%"
"Aug 07, 2020","2.6799","2.6906","2.6968","2.6774","-0.43%"
"Aug 06, 2020","2.6915","2.6710","2.6959","2.6609","0.80%"
"Aug 05, 2020","2.6702","2.6669","2.6797","2.6646","0.12%"
"Aug 04, 2020","2.6669","2.6721","2.6800","2.6635","-0.21%"
"Aug 03, 2020","2.6724","2.6785","2.6876","2.6657","-0.18%"
"Jul 31, 2020","2.6771","2.6788","2.6841","2.6649","-0.06%"
"Jul 30, 2020","2.6788","2.6844","2.6932","2.6655","-0.25%"
"Jul 29, 2020","2.6855","2.6957","2.7085","2.6826","-0.38%"
"Jul 28, 2020","2.6958","2.6707","2.6988","2.6670","0.92%"
"Jul 27, 2020","2.6713","2.6832","2.6934","2.6621","-0.54%"
"Jul 24, 2020","2.6858","2.6991","2.7048","2.6823","-0.49%"
"Jul 23, 2020","2.6991","2.7291","2.7325","2.6958","-1.10%"
"Jul 22, 2020","2.7290","2.7420","2.7547","2.7205","-0.44%"
"Jul 21, 2020","2.7411","2.7306","2.7515","2.7273","0.41%"
"Jul 20, 2020","2.7299","2.7387","2.7460","2.7238","-0.41%"
"Jul 17, 2020","2.7413","2.7463","2.7542","2.7331","-0.17%"
"Jul 16, 2020","2.7459","2.7490","2.7586","2.7397","-0.14%"
"Jul 15, 2020","2.7498","2.7377","2.7551","2.7341","0.42%"
"Jul 14, 2020","2.7383","2.7486","2.7545","2.7308","-0.39%"
"Jul 13, 2020","2.7490","2.7476","2.7592","2.7403","0.10%"
"Jul 10, 2020","2.7464","2.7589","2.7633","2.7418","-0.44%"
"Jul 09, 2020","2.7585","2.7582","2.7620","2.7471","0.01%"
"Jul 08, 2020","2.7582","2.7587","2.7624","2.7492","-0.01%"
"Jul 07, 2020","2.7583","2.7526","2.7668","2.7441","0.18%"
"Jul 06, 2020","2.7534","2.7520","2.7617","2.7456","-0.04%"
"Jul 03, 2020","2.7545","2.7487","2.7645","2.7432","0.21%"
"Jul 02, 2020","2.7487","2.7499","2.7555","2.7373","-0.04%"
"Jul 01, 2020","2.7499","2.7313","2.7587","2.7260","0.68%"
"Jun 30, 2020","2.7313","2.7215","2.7350","2.7153","0.37%"
"Jun 29, 2020","2.7212","2.7341","2.7388","2.7141","-0.43%"
"Jun 26, 2020","2.7330","2.7345","2.7443","2.7248","-0.04%"
"Jun 25, 2020","2.7341","2.7208","2.7431","2.7147","0.48%"
"Jun 24, 2020","2.7210","2.7257","2.7343","2.7134","-0.17%"
"Jun 23, 2020","2.7255","2.7260","2.7368","2.7120","0.01%"
"Jun 22, 2020","2.7252","2.7322","2.7417","2.7152","-0.11%"
"Jun 19, 2020","2.7281","2.7215","2.7441","2.7165","0.24%"
"Jun 18, 2020","2.7215","2.7335","2.7383","2.7158","-0.43%"
"Jun 17, 2020","2.7331","2.7218","2.7496","2.7087","0.42%"
"Jun 16, 2020","2.7217","2.6992","2.7301","2.6937","0.84%"
"Jun 15, 2020","2.6992","2.7006","2.7074","2.6813","-0.39%"
"Jun 12, 2020","2.7099","2.7164","2.7202","2.6968","-0.21%"
"Jun 11, 2020","2.7155","2.7383","2.7436","2.7037","-0.83%"
"Jun 10, 2020","2.7383","2.7290","2.7532","2.7164","0.34%"
"Jun 09, 2020","2.7290","2.7489","2.7543","2.7211","-0.72%"
"Jun 08, 2020","2.7489","2.7385","2.7538","2.7317","0.40%"
"Jun 05, 2020","2.7378","2.7174","2.7473","2.7076","0.76%"
