"Date","Price","Open","High","Low","Change %"
"Jun 30, 2000","1.0312","1.0416","1.0458","1.0255","-1.14%"
"Jun 29, 2000","1.0431","1.0453","1.0504","1.0395","-0.19%"
"Jun 28, 2000","1.0451","1.0412","1.0467","1.0393","0.22%"
"Jun 27, 2000","1.0428","1.0337","1.0448","1.0333","0.78%"
"Jun 26, 2000","1.0347","1.0291","1.0365","1.0248","0.43%"
"Jun 23, 2000","1.0303","1.0339","1.0370","1.0277","-0.43%"
"Jun 22, 2000","1.0348","1.0424","1.0456","1.0299","-0.81%"
"Jun 21, 2000","1.0433","1.0434","1.0465","1.0357","-0.12%"
"Jun 20, 2000","1.0446","1.0398","1.0521","1.0391","0.36%"
"Jun 19, 2000","1.0409","1.0453","1.0481","1.0386","-0.58%"
"Jun 16, 2000","1.0470","1.0361","1.0537","1.0354","0.84%"
"Jun 15, 2000","1.0383","1.0315","1.0404","1.0280","0.60%"
"Jun 14, 2000","1.0321","1.0274","1.0401","1.0231","0.54%"
"Jun 13, 2000","1.0266","1.0182","1.0317","1.0124","0.77%"
"Jun 12, 2000","1.0188","1.0102","1.0197","1.0085","0.60%"
"Jun 09, 2000","1.0127","1.0084","1.0164","1.0064","-0.06%"
"Jun 08, 2000","1.0133","1.0199","1.0216","1.0059","-0.88%"
"Jun 07, 2000","1.0223","1.0099","1.0227","1.0093","1.11%"
"Jun 06, 2000","1.0111","1.0007","1.0178","0.9951","1.10%"
"Jun 05, 2000","1.0001","1.0020","1.0069","0.9939","-0.01%"
"Jun 02, 2000","1.0002","0.9910","1.0053","0.9829","1.05%"
"Jun 01, 2000","0.9898","0.9916","0.9943","0.9839","-0.19%"
"May 31, 2000","0.9917","0.9947","0.9988","0.9861","-0.52%"
"May 30, 2000","0.9969","0.9905","1.0069","0.9898","0.44%"
"May 29, 2000","0.9925","0.9943","0.9980","0.9894","-0.25%"
"May 26, 2000","0.9950","0.9839","0.9966","0.9812","1.06%"
"May 25, 2000","0.9846","0.9889","0.9955","0.9809","-0.66%"
"May 24, 2000","0.9911","0.9912","0.9960","0.9867","-0.64%"
"May 23, 2000","0.9975","0.9896","1.0023","0.9891","0.76%"
"May 22, 2000","0.9900","0.9881","0.9981","0.9803","-0.11%"
"May 19, 2000","0.9911","0.9907","0.9938","0.9786","-0.07%"
"May 18, 2000","0.9918","0.9857","0.9964","0.9788","0.72%"
"May 17, 2000","0.9847","0.9953","0.9986","0.9800","-1.55%"
"May 16, 2000","1.0002","0.9901","1.0032","0.9887","1.02%"
"May 15, 2000","0.9901","1.0042","1.0075","0.9887","-1.18%"
"May 12, 2000","1.0019","1.0010","1.0052","0.9946","-0.07%"
"May 11, 2000","1.0026","1.0039","1.0108","0.9917","-0.24%"
"May 10, 2000","1.0050","1.0106","1.0130","1.0022","-0.36%"
"May 09, 2000","1.0086","1.0010","1.0101","0.9936","0.71%"
"May 08, 2000","1.0015","1.0257","1.0280","1.0005","-2.53%"
"May 05, 2000","1.0275","1.0172","1.0292","1.0145","0.96%"
"May 04, 2000","1.0177","1.0153","1.0199","1.0091","-0.15%"
"May 03, 2000","1.0192","1.0036","1.0213","1.0021","1.43%"
"May 02, 2000","1.0048","0.9934","1.0089","0.9931","0.97%"
"May 01, 2000","0.9951","0.9975","0.9984","0.9878","-0.17%"
"Apr 28, 2000","0.9968","0.9988","1.0088","0.9920","-0.44%"
"Apr 27, 2000","1.0012","1.0033","1.0080","1.0003","-0.07%"
"Apr 26, 2000","1.0019","1.0110","1.0117","0.9999","-0.92%"
"Apr 25, 2000","1.0112","1.0112","1.0171","1.0082","-0.02%"
"Apr 24, 2000","1.0114","1.0050","1.0135","1.0050","0.51%"
"Apr 21, 2000","1.0063","1.0054","1.0135","1.0034","0.07%"
"Apr 20, 2000","1.0056","1.0109","1.0153","1.0036","-0.54%"
"Apr 19, 2000","1.0111","1.0079","1.0178","1.0073","0.09%"
"Apr 18, 2000","1.0102","1.0056","1.0146","1.0034","0.16%"
"Apr 17, 2000","1.0086","1.0279","1.0357","1.0033","-1.23%"
"Apr 14, 2000","1.0212","1.0254","1.0266","1.0159","-0.19%"
"Apr 13, 2000","1.0231","1.0281","1.0324","1.0213","-0.39%"
"Apr 12, 2000","1.0271","1.0236","1.0293","1.0192","0.21%"
"Apr 11, 2000","1.0249","1.0238","1.0259","1.0197","0.26%"
"Apr 10, 2000","1.0222","1.0239","1.0314","1.0192","-0.38%"
"Apr 07, 2000","1.0261","1.0302","1.0318","1.0205","-0.45%"
"Apr 06, 2000","1.0307","1.0356","1.0411","1.0251","-0.79%"
"Apr 05, 2000","1.0389","1.0366","1.0429","1.0330","0.08%"
"Apr 04, 2000","1.0381","1.0455","1.0486","1.0296","-0.70%"
"Apr 03, 2000","1.0454","1.0382","1.0454","1.0363","0.54%"
"Mar 31, 2000","1.0398","1.0528","1.0546","1.0288","-1.26%"
"Mar 30, 2000","1.0531","1.0479","1.0545","1.0451","0.30%"
"Mar 29, 2000","1.0499","1.0546","1.0570","1.0409","-0.59%"
"Mar 28, 2000","1.0561","1.0504","1.0563","1.0480","0.64%"
"Mar 27, 2000","1.0494","1.0442","1.0546","1.0420","0.53%"
"Mar 24, 2000","1.0439","1.0359","1.0447","1.0330","0.77%"
"Mar 23, 2000","1.0359","1.0337","1.0394","1.0292","0.00%"
"Mar 22, 2000","1.0359","1.0483","1.0491","1.0339","-1.20%"
"Mar 21, 2000","1.0485","1.0445","1.0517","1.0428","0.31%"
"Mar 20, 2000","1.0453","1.0415","1.0465","1.0351","0.28%"
"Mar 17, 2000","1.0424","1.0454","1.0506","1.0378","-0.35%"
"Mar 16, 2000","1.0461","1.0509","1.0534","1.0413","-0.52%"
"Mar 15, 2000","1.0516","1.0506","1.0545","1.0444","-0.02%"
"Mar 14, 2000","1.0518","1.0515","1.0576","1.0456","0.03%"
"Mar 13, 2000","1.0515","1.0434","1.0544","1.0400","0.36%"
"Mar 10, 2000","1.0477","1.0497","1.0531","1.0431","-0.38%"
"Mar 09, 2000","1.0517","1.0432","1.0525","1.0424","0.85%"
"Mar 08, 2000","1.0428","1.0388","1.0452","1.0346","0.23%"
"Mar 07, 2000","1.0404","1.0377","1.0433","1.0327","0.24%"
"Mar 06, 2000","1.0379","1.0485","1.0492","1.0353","-1.07%"
"Mar 03, 2000","1.0491","1.0449","1.0523","1.0407","0.45%"
"Mar 02, 2000","1.0444","1.0382","1.0507","1.0328","0.54%"
"Mar 01, 2000","1.0388","1.0640","1.0655","1.0355","-2.58%"
"Feb 29, 2000","1.0663","1.0557","1.0671","1.0497","0.89%"
"Feb 28, 2000","1.0569","1.0524","1.0578","1.0427","0.50%"
"Feb 25, 2000","1.0516","1.0538","1.0628","1.0501","-0.37%"
"Feb 24, 2000","1.0555","1.0633","1.0677","1.0513","-0.66%"
"Feb 23, 2000","1.0625","1.0650","1.0667","1.0575","-0.35%"
"Feb 22, 2000","1.0662","1.0663","1.0716","1.0634","-0.32%"
"Feb 21, 2000","1.0696","1.0716","1.0752","1.0670","-0.42%"
"Feb 18, 2000","1.0741","1.0770","1.0821","1.0706","-0.35%"
"Feb 17, 2000","1.0779","1.0766","1.0832","1.0706","0.16%"
"Feb 16, 2000","1.0762","1.0641","1.0770","1.0641","1.02%"
"Feb 15, 2000","1.0653","1.0609","1.0697","1.0564","0.42%"
"Feb 14, 2000","1.0608","1.0705","1.0722","1.0587","-0.64%"
"Feb 11, 2000","1.0676","1.0690","1.0734","1.0594","-0.21%"
"Feb 10, 2000","1.0699","1.0753","1.0767","1.0628","-0.49%"
"Feb 09, 2000","1.0752","1.0740","1.0796","1.0655","0.35%"
"Feb 08, 2000","1.0714","1.0731","1.0806","1.0697","-0.11%"
"Feb 07, 2000","1.0726","1.0775","1.0897","1.0690","-0.47%"
"Feb 04, 2000","1.0777","1.0775","1.0809","1.0615","0.01%"
"Feb 03, 2000","1.0776","1.0820","1.0852","1.0677","-0.56%"
"Feb 02, 2000","1.0837","1.0737","1.0893","1.0732","0.88%"
"Feb 01, 2000","1.0742","1.0837","1.0865","1.0678","-0.88%"
"Jan 31, 2000","1.0837","1.0909","1.0929","1.0754","0.15%"
"Jan 28, 2000","1.0821","1.1049","1.1096","1.0640","-2.30%"
"Jan 27, 2000","1.1076","1.1052","1.1105","1.0987","0.24%"
"Jan 26, 2000","1.1050","1.1056","1.1107","1.1003","-0.08%"
"Jan 25, 2000","1.1059","1.1015","1.1068","1.0990","0.40%"
"Jan 24, 2000","1.1015","1.1078","1.1117","1.0971","-1.11%"
"Jan 21, 2000","1.1139","1.1132","1.1159","1.1090","0.02%"
"Jan 20, 2000","1.1137","1.1115","1.1190","1.1061","0.12%"
"Jan 19, 2000","1.1124","1.1143","1.1170","1.1086","-0.24%"
"Jan 18, 2000","1.1151","1.1120","1.1159","1.1054","0.08%"
"Jan 17, 2000","1.1142","1.1136","1.1157","1.1089","-0.10%"
"Jan 14, 2000","1.1153","1.1147","1.1183","1.1098","-0.03%"
"Jan 13, 2000","1.1156","1.0983","1.1170","1.0966","1.52%"
"Jan 12, 2000","1.0989","1.0972","1.1000","1.0936","0.06%"
"Jan 11, 2000","1.0982","1.0886","1.0997","1.0884","0.76%"
"Jan 10, 2000","1.0899","1.0868","1.0914","1.0835","0.17%"
"Jan 07, 2000","1.0881","1.0867","1.0903","1.0815","-0.08%"
"Jan 06, 2000","1.0890","1.0905","1.0938","1.0861","-0.21%"
"Jan 05, 2000","1.0913","1.0835","1.0927","1.0804","0.64%"
"Jan 04, 2000","1.0844","1.0896","1.0926","1.0813","-0.53%"
"Jan 03, 2000","1.0902","1.0914","1.0994","1.0843","-0.32%"
"Dec 31, 1999","1.0937","1.0884","1.0947","1.0844","0.40%"
"Dec 30, 1999","1.0893","1.0839","1.0905","1.0814","0.45%"
"Dec 29, 1999","1.0844","1.0766","1.0873","1.0708","0.75%"
"Dec 28, 1999","1.0763","1.0759","1.0775","1.0709","-0.08%"
"Dec 27, 1999","1.0772","1.0720","1.0772","1.0714","0.34%"
"Dec 24, 1999","1.0735","1.0780","1.0798","1.0700","-0.57%"
"Dec 23, 1999","1.0796","1.0724","1.0796","1.0691","0.63%"
"Dec 22, 1999","1.0728","1.0757","1.0789","1.0696","-0.43%"
"Dec 21, 1999","1.0774","1.0735","1.0780","1.0703","0.34%"
"Dec 20, 1999","1.0738","1.0747","1.0774","1.0690","-0.16%"
"Dec 17, 1999","1.0755","1.0757","1.0815","1.0732","-0.03%"
"Dec 16, 1999","1.0758","1.0656","1.0772","1.0647","0.92%"
"Dec 15, 1999","1.0660","1.0683","1.0696","1.0617","-0.27%"
"Dec 14, 1999","1.0689","1.0643","1.0698","1.0633","0.37%"
"Dec 13, 1999","1.0650","1.0646","1.0701","1.0600","0.01%"
"Dec 10, 1999","1.0649","1.0704","1.0727","1.0616","-0.72%"
"Dec 09, 1999","1.0726","1.0692","1.0758","1.0682","0.20%"
"Dec 08, 1999","1.0705","1.0679","1.0734","1.0653","0.18%"
"Dec 07, 1999","1.0686","1.0657","1.0697","1.0626","0.22%"
"Dec 06, 1999","1.0663","1.0654","1.0690","1.0606","0.10%"
"Dec 03, 1999","1.0652","1.0662","1.0688","1.0599","-0.22%"
"Dec 02, 1999","1.0676","1.0719","1.0737","1.0642","-0.34%"
"Dec 01, 1999","1.0712","1.0671","1.0733","1.0661","0.30%"
"Nov 30, 1999","1.0680","1.0727","1.0753","1.0641","-0.55%"
"Nov 29, 1999","1.0739","1.0594","1.0745","1.0586","1.19%"
"Nov 26, 1999","1.0613","1.0616","1.0687","1.0564","-0.18%"
"Nov 25, 1999","1.0632","1.0543","1.0636","1.0518","0.77%"
"Nov 24, 1999","1.0551","1.0602","1.0629","1.0484","-0.63%"
"Nov 23, 1999","1.0618","1.0628","1.0683","1.0586","-0.27%"
"Nov 22, 1999","1.0647","1.0670","1.0694","1.0621","-0.11%"
"Nov 19, 1999","1.0659","1.0667","1.0700","1.0627","-0.09%"
"Nov 18, 1999","1.0669","1.0657","1.0703","1.0631","0.02%"
"Nov 17, 1999","1.0667","1.0718","1.0753","1.0639","-0.64%"
"Nov 16, 1999","1.0736","1.0765","1.0779","1.0690","-0.34%"
"Nov 15, 1999","1.0773","1.0779","1.0842","1.0711","0.17%"
"Nov 12, 1999","1.0755","1.0752","1.0766","1.0701","-0.07%"
"Nov 11, 1999","1.0762","1.0755","1.0795","1.0737","-0.10%"
"Nov 10, 1999","1.0773","1.0668","1.0779","1.0665","0.91%"
"Nov 09, 1999","1.0676","1.0640","1.0686","1.0613","0.33%"
"Nov 08, 1999","1.0641","1.0671","1.0736","1.0610","-0.33%"
"Nov 05, 1999","1.0676","1.0613","1.0701","1.0561","0.62%"
"Nov 04, 1999","1.0610","1.0730","1.0751","1.0580","-1.27%"
"Nov 03, 1999","1.0747","1.0713","1.0789","1.0653","0.55%"
"Nov 02, 1999","1.0688","1.0572","1.0751","1.0559","0.90%"
"Nov 01, 1999","1.0593","1.0629","1.0641","1.0534","0.11%"
"Oct 29, 1999","1.0581","1.0771","1.0809","1.0560","-1.95%"
"Oct 28, 1999","1.0791","1.0758","1.0791","1.0702","0.19%"
"Oct 27, 1999","1.0771","1.0832","1.0841","1.0733","-0.72%"
"Oct 26, 1999","1.0849","1.0841","1.0899","1.0808","0.03%"
"Oct 25, 1999","1.0846","1.0814","1.0859","1.0756","0.35%"
"Oct 22, 1999","1.0808","1.0845","1.0879","1.0790","-0.27%"
"Oct 21, 1999","1.0837","1.0815","1.0853","1.0782","0.07%"
"Oct 20, 1999","1.0829","1.0812","1.0881","1.0785","0.12%"
"Oct 19, 1999","1.0816","1.0800","1.0878","1.0770","0.19%"
"Oct 18, 1999","1.0796","1.0782","1.0827","1.0747","-0.44%"
"Oct 15, 1999","1.0844","1.0866","1.0953","1.0791","-0.49%"
"Oct 14, 1999","1.0897","1.0921","1.0962","1.0846","-0.11%"
"Oct 13, 1999","1.0909","1.1010","1.1109","1.0861","-0.88%"
"Oct 12, 1999","1.1006","1.0985","1.1025","1.0894","0.10%"
"Oct 11, 1999","1.0995","1.0979","1.1010","1.0916","-0.07%"
"Oct 08, 1999","1.1003","1.1050","1.1087","1.0974","-0.55%"
"Oct 07, 1999","1.1064","1.1070","1.1116","1.1035","-0.26%"
"Oct 06, 1999","1.1093","1.1088","1.1182","1.1047","-0.18%"
"Oct 05, 1999","1.1113","1.1171","1.1235","1.1075","-0.60%"
"Oct 04, 1999","1.1180","1.1108","1.1211","1.1075","0.64%"
"Oct 01, 1999","1.1109","1.1051","1.1174","1.1042","0.24%"
"Sep 30, 1999","1.1082","1.1130","1.1157","1.1041","-0.37%"
"Sep 29, 1999","1.1123","1.1252","1.1296","1.1104","-1.26%"
"Sep 28, 1999","1.1265","1.1098","1.1320","1.1060","1.29%"
"Sep 27, 1999","1.1121","1.1166","1.1203","1.1075","-0.04%"
"Sep 24, 1999","1.1126","1.1148","1.1179","1.1050","-0.13%"
"Sep 23, 1999","1.1141","1.1107","1.1169","1.1063","0.29%"
"Sep 22, 1999","1.1109","1.1029","1.1157","1.1009","0.68%"
"Sep 21, 1999","1.1034","1.0912","1.1040","1.0892","1.16%"
"Sep 20, 1999","1.0907","1.0950","1.0974","1.0874","-0.41%"
"Sep 17, 1999","1.0952","1.0949","1.1037","1.0935","-0.02%"
"Sep 16, 1999","1.0954","1.0973","1.1012","1.0904","-0.32%"
"Sep 15, 1999","1.0989","1.0996","1.1038","1.0925","-0.23%"
"Sep 14, 1999","1.1014","1.1044","1.1095","1.0987","-0.35%"
"Sep 13, 1999","1.1053","1.0974","1.1098","1.0966","0.34%"
"Sep 10, 1999","1.1015","1.0960","1.1056","1.0945","0.34%"
"Sep 09, 1999","1.0978","1.0993","1.1038","1.0939","-0.18%"
"Sep 08, 1999","1.0998","1.0979","1.1035","1.0962","0.00%"
"Sep 07, 1999","1.0998","1.0896","1.1006","1.0845","0.96%"
"Sep 06, 1999","1.0893","1.0860","1.0897","1.0843","-0.04%"
"Sep 03, 1999","1.0897","1.0847","1.0925","1.0828","0.26%"
"Sep 02, 1999","1.0869","1.0718","1.0892","1.0701","1.19%"
"Sep 01, 1999","1.0741","1.0780","1.0797","1.0697","-0.28%"
"Aug 31, 1999","1.0771","1.0726","1.0808","1.0678","0.49%"
"Aug 30, 1999","1.0719","1.0626","1.0740","1.0595","0.49%"
"Aug 27, 1999","1.0667","1.0660","1.0730","1.0643","0.09%"
"Aug 26, 1999","1.0657","1.0691","1.0705","1.0630","-0.28%"
"Aug 25, 1999","1.0687","1.0757","1.0766","1.0645","-0.82%"
"Aug 24, 1999","1.0775","1.0680","1.0808","1.0653","0.87%"
"Aug 23, 1999","1.0682","1.0685","1.0734","1.0624","0.29%"
"Aug 20, 1999","1.0651","1.0637","1.0731","1.0624","0.11%"
"Aug 19, 1999","1.0639","1.0826","1.0839","1.0592","-1.84%"
"Aug 18, 1999","1.0838","1.0917","1.0948","1.0747","-0.71%"
"Aug 17, 1999","1.0916","1.0829","1.0935","1.0813","0.84%"
"Aug 16, 1999","1.0825","1.0946","1.0970","1.0812","-0.99%"
"Aug 13, 1999","1.0933","1.0856","1.0937","1.0838","0.64%"
"Aug 12, 1999","1.0863","1.0898","1.0943","1.0820","-0.27%"
"Aug 11, 1999","1.0892","1.0852","1.0899","1.0761","0.22%"
"Aug 10, 1999","1.0868","1.0882","1.0949","1.0809","-0.44%"
"Aug 09, 1999","1.0916","1.0847","1.0916","1.0814","0.13%"
"Aug 06, 1999","1.0902","1.0960","1.1005","1.0838","-0.47%"
"Aug 05, 1999","1.0954","1.1050","1.1071","1.0922","-0.91%"
"Aug 04, 1999","1.1055","1.1015","1.1070","1.0981","0.38%"
"Aug 03, 1999","1.1013","1.0932","1.1027","1.0915","0.76%"
"Aug 02, 1999","1.0930","1.0936","1.0951","1.0866","-0.19%"
"Jul 30, 1999","1.0951","1.0980","1.1023","1.0941","-0.33%"
"Jul 29, 1999","1.0987","1.0857","1.0993","1.0814","1.18%"
"Jul 28, 1999","1.0859","1.0871","1.0913","1.0779","-0.17%"
"Jul 27, 1999","1.0877","1.0902","1.0931","1.0812","-0.21%"
"Jul 26, 1999","1.0900","1.1035","1.1080","1.0859","-0.98%"
"Jul 23, 1999","1.1008","1.0990","1.1064","1.0959","0.15%"
"Jul 22, 1999","1.0992","1.0980","1.1034","1.0949","0.06%"
"Jul 21, 1999","1.0985","1.1000","1.1025","1.0882","-0.15%"
"Jul 20, 1999","1.1002","1.1049","1.1109","1.0939","-0.32%"
"Jul 19, 1999","1.1037","1.1229","1.1287","1.1010","-2.01%"
"Jul 16, 1999","1.1263","1.1225","1.1290","1.1202","0.22%"
"Jul 15, 1999","1.1238","1.1165","1.1278","1.1136","0.71%"
"Jul 14, 1999","1.1159","1.1198","1.1238","1.1148","-0.29%"
"Jul 13, 1999","1.1192","1.1227","1.1294","1.1154","-0.38%"
"Jul 12, 1999","1.1235","1.1297","1.1333","1.1217","-0.76%"
"Jul 09, 1999","1.1321","1.1322","1.1361","1.1254","-0.02%"
"Jul 08, 1999","1.1323","1.1311","1.1391","1.1234","-0.06%"
"Jul 07, 1999","1.1330","1.1218","1.1352","1.1199","0.99%"
"Jul 06, 1999","1.1219","1.1317","1.1406","1.1192","-0.67%"
"Jul 05, 1999","1.1295","1.1327","1.1354","1.1272","-0.44%"
"Jul 02, 1999","1.1345","1.1311","1.1385","1.1272","0.27%"
"Jul 01, 1999","1.1315","1.1329","1.1415","1.1288","-0.39%"
"Jun 30, 1999","1.1359","1.1175","1.1369","1.1163","1.54%"
"Jun 29, 1999","1.1187","1.1187","1.1226","1.1146","-0.17%"
"Jun 28, 1999","1.1206","1.1254","1.1295","1.1174","-0.47%"
"Jun 25, 1999","1.1259","1.1181","1.1329","1.1181","0.55%"
"Jun 24, 1999","1.1197","1.1172","1.1228","1.1165","0.07%"
"Jun 23, 1999","1.1189","1.1117","1.1214","1.1117","0.70%"
"Jun 22, 1999","1.1111","1.1102","1.1126","1.1008","0.11%"
"Jun 21, 1999","1.1099","1.1138","1.1203","1.1074","-0.31%"
"Jun 18, 1999","1.1134","1.1181","1.1201","1.1086","-0.45%"
"Jun 17, 1999","1.1184","1.1170","1.1251","1.1155","-0.02%"
"Jun 16, 1999","1.1186","1.1247","1.1275","1.1170","-0.57%"
"Jun 15, 1999","1.1250","1.1349","1.1370","1.1225","-0.99%"
"Jun 14, 1999","1.1363","1.1341","1.1376","1.1307","-0.10%"
"Jun 11, 1999","1.1374","1.1323","1.1410","1.1301","0.29%"
"Jun 10, 1999","1.1341","1.1294","1.1386","1.1216","0.48%"
"Jun 09, 1999","1.1287","1.1236","1.1391","1.1195","0.31%"
"Jun 08, 1999","1.1252","1.1344","1.1370","1.1204","-0.92%"
"Jun 07, 1999","1.1356","1.1353","1.1411","1.1291","-0.23%"
"Jun 04, 1999","1.1382","1.1185","1.1400","1.1161","1.57%"
"Jun 03, 1999","1.1206","1.1101","1.1236","1.1057","0.68%"
"Jun 02, 1999","1.1130","1.1079","1.1166","1.1062","0.32%"
"Jun 01, 1999","1.1095","1.1193","1.1214","1.1033","-0.98%"
"May 31, 1999","1.1205","1.1269","1.1280","1.1180","-0.51%"
"May 28, 1999","1.1263","1.1193","1.1316","1.1167","0.44%"
"May 27, 1999","1.1214","1.1234","1.1317","1.1175","-0.04%"
"May 26, 1999","1.1219","1.1226","1.1271","1.1160","0.01%"
"May 25, 1999","1.1218","1.1323","1.1374","1.1199","-1.05%"
"May 24, 1999","1.1337","1.1305","1.1377","1.1278","0.06%"
"May 21, 1999","1.1330","1.1378","1.1441","1.1306","-0.37%"
"May 20, 1999","1.1372","1.1352","1.1429","1.1323","0.11%"
"May 19, 1999","1.1360","1.1410","1.1428","1.1312","-0.46%"
"May 18, 1999","1.1412","1.1383","1.1526","1.1356","0.08%"
"May 17, 1999","1.1403","1.1347","1.1423","1.1307","0.23%"
"May 14, 1999","1.1377","1.1411","1.1487","1.1342","-0.25%"
"May 13, 1999","1.1406","1.1332","1.1413","1.1282","0.59%"
"May 12, 1999","1.1339","1.1356","1.1413","1.1302","-0.23%"
"May 11, 1999","1.1365","1.1302","1.1450","1.1259","0.40%"
"May 10, 1999","1.1320","1.1406","1.1421","1.1292","-0.79%"
"May 07, 1999","1.1410","1.1377","1.1471","1.1285","0.15%"
"May 06, 1999","1.1393","1.1290","1.1441","1.1263","0.82%"
"May 05, 1999","1.1300","1.1230","1.1322","1.1158","0.61%"
"May 04, 1999","1.1231","1.1277","1.1319","1.1218","-0.61%"
"May 03, 1999","1.1300","1.1190","1.1346","1.1175","0.70%"
"Apr 30, 1999","1.1222","1.1164","1.1264","1.1140","0.37%"
"Apr 29, 1999","1.1181","1.1107","1.1193","1.1063","0.67%"
"Apr 28, 1999","1.1107","1.1053","1.1146","1.1009","0.53%"
"Apr 27, 1999","1.1048","1.1024","1.1084","1.0962","0.19%"
"Apr 26, 1999","1.1027","1.1106","1.1179","1.0983","-0.89%"
"Apr 23, 1999","1.1126","1.1100","1.1220","1.1090","-0.06%"
"Apr 22, 1999","1.1133","1.1046","1.1151","1.1032","0.61%"
"Apr 21, 1999","1.1065","1.1048","1.1119","1.1038","0.14%"
"Apr 20, 1999","1.1050","1.1075","1.1155","1.1023","-0.38%"
"Apr 19, 1999","1.1092","1.0975","1.1149","1.0975","0.73%"
"Apr 16, 1999","1.1012","1.0881","1.1057","1.0861","1.11%"
"Apr 15, 1999","1.0891","1.0768","1.0916","1.0652","0.93%"
"Apr 14, 1999","1.0791","1.0896","1.0920","1.0747","-1.05%"
"Apr 13, 1999","1.0905","1.0934","1.0978","1.0877","-0.43%"
"Apr 12, 1999","1.0952","1.0931","1.1019","1.0907","0.19%"
