"Date","Price","Open","High","Low","Change %"
"Jul 23, 2020","0.6902","0.6930","0.6951","0.6901","-0.40%"
"Jul 22, 2020","0.6930","0.6934","0.6946","0.6916","-0.06%"
"Jul 21, 2020","0.6934","0.6937","0.6984","0.6931","-0.04%"
"Jul 20, 2020","0.6937","0.6913","0.6952","0.6908","0.34%"
"Jul 17, 2020","0.6913","0.6966","0.6977","0.6905","-0.77%"
"Jul 16, 2020","0.6967","0.6988","0.7006","0.6959","-0.34%"
"Jul 15, 2020","0.6990","0.6902","0.7003","0.6897","1.27%"
"Jul 14, 2020","0.6902","0.6919","0.6927","0.6886","-0.23%"
"Jul 13, 2020","0.6919","0.6926","0.6963","0.6914","-0.06%"
"Jul 10, 2020","0.6923","0.6920","0.6935","0.6902","0.04%"
"Jul 09, 2020","0.6920","0.6945","0.6957","0.6917","-0.36%"
"Jul 08, 2020","0.6945","0.6927","0.6956","0.6918","0.26%"
"Jul 07, 2020","0.6927","0.6959","0.6967","0.6923","-0.46%"
"Jul 06, 2020","0.6959","0.6981","0.6985","0.6927","-0.34%"
"Jul 03, 2020","0.6982","0.6969","0.6985","0.6956","0.18%"
"Jul 02, 2020","0.6970","0.6962","0.6971","0.6935","0.11%"
"Jul 01, 2020","0.6962","0.6977","0.6995","0.6952","-0.23%"
"Jun 30, 2020","0.6977","0.6964","0.6984","0.6935","0.18%"
"Jun 29, 2020","0.6965","0.6927","0.6967","0.6913","0.57%"
"Jun 26, 2020","0.6926","0.6956","0.6963","0.6914","-0.42%"
"Jun 25, 2020","0.6955","0.6950","0.6974","0.6939","0.07%"
"Jun 24, 2020","0.6949","0.6973","0.6991","0.6949","-0.36%"
"Jun 23, 2020","0.6974","0.7010","0.7020","0.6969","-0.49%"
"Jun 22, 2020","0.7009","0.7003","0.7014","0.6984","0.14%"
"Jun 19, 2020","0.6999","0.6995","0.7027","0.6985","0.06%"
"Jun 18, 2020","0.6995","0.6992","0.7022","0.6975","0.04%"
"Jun 17, 2020","0.6993","0.7027","0.7034","0.6988","-0.43%"
"Jun 16, 2020","0.7024","0.6994","0.7038","0.6973","0.41%"
"Jun 15, 2020","0.6995","0.7011","0.7012","0.6951","-0.21%"
"Jun 12, 2020","0.7010","0.6928","0.7025","0.6910","1.17%"
"Jun 11, 2020","0.6929","0.7045","0.7053","0.6904","-1.64%"
"Jun 10, 2020","0.7045","0.7086","0.7104","0.7030","-0.58%"
"Jun 09, 2020","0.7085","0.7154","0.7167","0.7059","-0.98%"
"Jun 08, 2020","0.7156","0.7168","0.7192","0.7133","-0.20%"
"Jun 05, 2020","0.7169","0.7078","0.7204","0.7068","1.30%"
"Jun 04, 2020","0.7078","0.7125","0.7132","0.7067","-0.64%"
