"Date","Price","Open","High","Low","Change %"
"Jul 30, 2020","6.7615","6.7681","6.8190","6.7502","-0.11%"
"Jul 29, 2020","6.7687","6.8159","6.8397","6.7628","-0.68%"
"Jul 28, 2020","6.8152","6.8088","6.8383","6.7863","0.10%"
"Jul 27, 2020","6.8081","6.8383","6.8622","6.7741","-0.31%"
"Jul 24, 2020","6.8295","6.8803","6.8947","6.8124","-0.72%"
"Jul 23, 2020","6.8787","6.8144","6.8921","6.7941","0.97%"
"Jul 22, 2020","6.8129","6.7703","6.8323","6.7470","0.62%"
"Jul 21, 2020","6.7706","6.8190","6.8291","6.7617","-0.67%"
"Jul 20, 2020","6.8164","6.8550","6.8625","6.8128","-0.42%"
"Jul 17, 2020","6.8451","6.8517","6.8691","6.8267","-0.11%"
"Jul 16, 2020","6.8524","6.8615","6.9141","6.8323","-0.16%"
"Jul 15, 2020","6.8636","6.8928","6.9011","6.8373","-0.43%"
"Jul 14, 2020","6.8931","6.9413","6.9739","6.8836","-0.69%"
"Jul 13, 2020","6.9411","6.9486","6.9930","6.8979","0.09%"
"Jul 10, 2020","6.9349","6.9681","7.0089","6.9199","-0.47%"
"Jul 09, 2020","6.9675","6.9402","6.9856","6.9176","0.39%"
"Jul 08, 2020","6.9405","6.9636","6.9933","6.9374","-0.33%"
"Jul 07, 2020","6.9633","6.9434","6.9841","6.9103","0.29%"
"Jul 06, 2020","6.9429","6.9925","7.0353","6.9102","-0.74%"
"Jul 03, 2020","6.9946","7.0271","7.0495","6.9787","-0.46%"
"Jul 02, 2020","7.0271","7.0040","7.0356","6.9459","0.33%"
"Jul 01, 2020","7.0040","7.0890","7.1272","6.9980","-1.20%"
"Jun 30, 2020","7.0890","7.0831","7.1347","7.0715","0.10%"
"Jun 29, 2020","7.0820","7.0829","7.1251","7.0428","-0.04%"
"Jun 26, 2020","7.0851","7.0848","7.1240","7.0627","0.02%"
"Jun 25, 2020","7.0838","7.0858","7.1361","7.0679","-0.03%"
"Jun 24, 2020","7.0858","7.0298","7.1226","6.9918","0.80%"
"Jun 23, 2020","7.0296","7.1024","7.1455","7.0037","-1.02%"
"Jun 22, 2020","7.1021","7.0901","7.1380","7.0448","0.21%"
"Jun 19, 2020","7.0872","7.0215","7.1518","6.9893","0.93%"
"Jun 18, 2020","7.0218","7.0211","7.0788","6.9781","-0.00%"
"Jun 17, 2020","7.0219","7.0655","7.0992","7.0117","-0.57%"
"Jun 16, 2020","7.0623","7.0282","7.0963","6.9892","0.49%"
"Jun 15, 2020","7.0283","7.0867","7.1797","7.0130","-1.01%"
"Jun 12, 2020","7.1000","7.0498","7.1363","7.0209","0.55%"
"Jun 11, 2020","7.0613","6.9265","7.0767","6.9209","2.05%"
"Jun 10, 2020","6.9191","6.9065","6.9960","6.8776","0.19%"
"Jun 09, 2020","6.9057","6.9134","6.9995","6.8862","-0.19%"
"Jun 08, 2020","6.9189","6.9314","6.9590","6.8945","-0.19%"
"Jun 05, 2020","6.9320","6.9310","6.9705","6.8692","0.01%"
"Jun 04, 2020","6.9315","7.0097","7.0552","6.9021","-1.08%"
"Jun 03, 2020","7.0075","7.0620","7.0726","6.9852","-0.77%"
"Jun 02, 2020","7.0620","7.0812","7.1202","7.0493","-0.27%"
"Jun 01, 2020","7.0814","7.0741","7.1375","7.0276","0.31%"
"May 29, 2020","7.0596","7.1040","7.1413","7.0234","-0.65%"
"May 28, 2020","7.1057","7.1760","7.2108","7.0740","-0.95%"
"May 27, 2020","7.1740","7.1806","7.2112","7.1342","-0.07%"
"May 26, 2020","7.1789","7.1892","7.2077","7.1445","-0.14%"
"May 25, 2020","7.1892","7.1527","7.2011","7.1379","0.63%"
"May 22, 2020","7.1442","7.1246","7.2001","7.1055","0.29%"
