"Date","Price","Open","High","Low","Change %"
"May 29, 2001","6.0190","5.9534","6.0263","5.9426","1.07%"
"May 28, 2001","5.9554","5.9417","5.9825","5.9249","0.35%"
"May 25, 2001","5.9346","5.9656","5.9898","5.9248","-0.61%"
"May 24, 2001","5.9711","5.9816","6.0269","5.9285","-0.13%"
"May 23, 2001","5.9788","5.9470","6.0081","5.9294","0.52%"
"May 22, 2001","5.9481","5.8940","5.9694","5.8797","0.83%"
"May 21, 2001","5.8990","5.9015","5.9303","5.8802","0.01%"
"May 18, 2001","5.8986","5.9005","5.9300","5.8833","-0.13%"
"May 17, 2001","5.9061","5.8899","5.9299","5.8711","0.22%"
"May 16, 2001","5.8934","5.9062","5.9211","5.8587","-0.18%"
"May 15, 2001","5.9040","5.8958","5.9189","5.8670","0.07%"
"May 14, 2001","5.8996","5.9106","5.9263","5.8682","-0.25%"
"May 11, 2001","5.9146","5.9113","5.9531","5.8954","-0.13%"
"May 10, 2001","5.9221","5.9064","5.9511","5.8857","0.19%"
"May 09, 2001","5.9108","5.8817","5.9341","5.8800","0.33%"
"May 08, 2001","5.8912","5.8719","5.9153","5.8662","0.27%"
"May 07, 2001","5.8753","5.8867","5.9178","5.8661","-0.30%"
"May 04, 2001","5.8932","5.9208","5.9316","5.8596","-0.57%"
"May 03, 2001","5.9267","5.9016","5.9430","5.8771","0.31%"
"May 02, 2001","5.9082","5.8977","5.9577","5.8965","0.06%"
"May 01, 2001","5.9049","5.9105","5.9476","5.8880","-0.37%"
"Apr 30, 2001","5.9267","5.8862","5.9516","5.8778","0.56%"
"Apr 27, 2001","5.8936","5.8501","5.9218","5.8340","0.61%"
"Apr 26, 2001","5.8581","5.8771","5.8919","5.8307","-0.39%"
"Apr 25, 2001","5.8810","5.8877","5.9274","5.8667","-0.19%"
"Apr 24, 2001","5.8919","5.8556","5.8963","5.8213","0.59%"
"Apr 23, 2001","5.8576","5.8375","5.8775","5.7989","0.33%"
"Apr 20, 2001","5.8381","5.8116","5.8639","5.7954","0.28%"
"Apr 19, 2001","5.8218","5.8220","5.8785","5.7970","0.13%"
"Apr 18, 2001","5.8145","5.8210","5.8834","5.7995","-0.16%"
"Apr 17, 2001","5.8240","5.8373","5.8926","5.8150","-0.19%"
"Apr 16, 2001","5.8350","5.8263","5.8713","5.8117","-0.02%"
"Apr 13, 2001","5.8361","5.8031","5.8423","5.7968","0.51%"
"Apr 12, 2001","5.8067","5.8186","5.8658","5.7938","-0.22%"
"Apr 11, 2001","5.8196","5.8360","5.8841","5.8092","-0.35%"
"Apr 10, 2001","5.8398","5.7993","5.8629","5.7763","0.74%"
"Apr 09, 2001","5.7971","5.7598","5.8093","5.7448","0.82%"
"Apr 06, 2001","5.7500","5.7531","5.7999","5.7317","-0.12%"
"Apr 05, 2001","5.7567","5.7633","5.7762","5.7253","-0.21%"
"Apr 04, 2001","5.7686","5.7435","5.7976","5.7343","0.35%"
"Apr 03, 2001","5.7482","5.8030","5.8083","5.7285","-0.98%"
"Apr 02, 2001","5.8051","5.8348","5.8398","5.7920","-0.25%"
"Mar 30, 2001","5.8194","5.7707","5.8320","5.7659","0.82%"
"Mar 29, 2001","5.7718","5.8345","5.8527","5.7610","-1.23%"
"Mar 28, 2001","5.8438","5.7594","5.8524","5.7523","1.25%"
"Mar 27, 2001","5.7718","5.8022","5.8239","5.7600","-0.62%"
"Mar 26, 2001","5.8081","5.8034","5.8304","5.7771","-0.08%"
"Mar 23, 2001","5.8125","5.7951","5.8293","5.7520","0.23%"
"Mar 22, 2001","5.7992","5.7541","5.8412","5.7467","0.77%"
"Mar 21, 2001","5.7548","5.7069","5.7799","5.6852","0.65%"
"Mar 20, 2001","5.7179","5.7550","5.7939","5.7085","-0.83%"
"Mar 19, 2001","5.7657","5.7908","5.8208","5.7379","-0.47%"
"Mar 16, 2001","5.7928","5.8498","5.8731","5.7861","-0.86%"
"Mar 15, 2001","5.8430","5.7638","5.8629","5.7486","1.26%"
"Mar 14, 2001","5.7702","5.8100","5.8481","5.7535","-0.83%"
"Mar 13, 2001","5.8183","5.6970","5.8290","5.6844","2.13%"
"Mar 12, 2001","5.6972","5.6804","5.7327","5.6717","0.26%"
"Mar 09, 2001","5.6822","5.6838","5.7076","5.6535","-0.13%"
"Mar 08, 2001","5.6898","5.7078","5.7189","5.6691","-0.27%"
"Mar 07, 2001","5.7054","5.7046","5.7368","5.6805","-0.07%"
"Mar 06, 2001","5.7094","5.7247","5.7612","5.6978","-0.18%"
"Mar 05, 2001","5.7199","5.6885","5.7435","5.6798","0.32%"
"Mar 02, 2001","5.7016","5.7025","5.7336","5.6603","-0.33%"
"Mar 01, 2001","5.7203","5.7899","5.8054","5.6888","-1.39%"
"Feb 28, 2001","5.8010","5.8582","5.8786","5.7869","-1.10%"
"Feb 27, 2001","5.8656","5.8995","5.9169","5.8426","-0.45%"
"Feb 26, 2001","5.8923","5.8250","5.9057","5.8247","1.00%"
"Feb 23, 2001","5.8337","5.9204","5.9380","5.8066","-1.43%"
"Feb 22, 2001","5.9185","5.8883","5.9520","5.8533","0.50%"
"Feb 21, 2001","5.8889","5.8410","5.9313","5.8214","0.74%"
"Feb 20, 2001","5.8458","5.8139","5.9175","5.7927","0.56%"
"Feb 19, 2001","5.8133","5.8258","5.8488","5.7524","-0.10%"
"Feb 16, 2001","5.8194","5.9096","5.9153","5.7966","-1.70%"
"Feb 15, 2001","5.9201","5.8549","5.9381","5.8396","1.04%"
"Feb 14, 2001","5.8591","5.8621","5.8897","5.8389","-0.01%"
"Feb 13, 2001","5.8594","5.7878","5.8856","5.7730","1.01%"
"Feb 12, 2001","5.8006","5.8615","5.8726","5.7804","-1.23%"
"Feb 09, 2001","5.8728","5.8868","5.9207","5.8486","-0.17%"
"Feb 08, 2001","5.8829","5.8302","5.9040","5.8131","0.88%"
"Feb 07, 2001","5.8314","5.8141","5.8418","5.7839","0.26%"
"Feb 06, 2001","5.8161","5.7892","5.8405","5.7784","0.49%"
"Feb 05, 2001","5.7875","5.8468","5.8563","5.7772","-1.13%"
"Feb 02, 2001","5.8534","5.8478","5.8892","5.8241","0.03%"
"Feb 01, 2001","5.8519","5.8422","5.8641","5.8047","-0.12%"
"Jan 31, 2001","5.8591","5.8719","5.9017","5.8405","-0.38%"
"Jan 30, 2001","5.8812","5.9445","5.9656","5.8667","-1.28%"
"Jan 29, 2001","5.9576","5.8934","5.9627","5.8837","0.93%"
"Jan 26, 2001","5.9029","5.8956","5.9353","5.8647","0.29%"
"Jan 25, 2001","5.8857","5.8875","5.9564","5.8718","-0.07%"
"Jan 24, 2001","5.8898","5.8343","5.9113","5.8202","0.93%"
"Jan 23, 2001","5.8354","5.8264","5.8599","5.7889","0.03%"
"Jan 22, 2001","5.8339","5.8007","5.8692","5.7899","0.32%"
"Jan 19, 2001","5.8151","5.7616","5.8161","5.7211","1.05%"
"Jan 18, 2001","5.7546","5.7937","5.8132","5.7271","-0.83%"
"Jan 17, 2001","5.8030","5.7820","5.8424","5.7675","0.17%"
"Jan 16, 2001","5.7932","5.8049","5.8361","5.7821","-0.26%"
"Jan 15, 2001","5.8083","5.7493","5.8137","5.7399","0.88%"
"Jan 12, 2001","5.7576","5.7472","5.7917","5.7160","0.15%"
"Jan 11, 2001","5.7488","5.8179","5.8313","5.7201","-1.23%"
"Jan 10, 2001","5.8206","5.8560","5.8696","5.7814","-0.33%"
"Jan 09, 2001","5.8396","5.8585","5.8969","5.8294","-0.18%"
"Jan 08, 2001","5.8500","5.7728","5.8606","5.7596","1.41%"
"Jan 05, 2001","5.7687","5.8107","5.8287","5.7411","-0.67%"
"Jan 04, 2001","5.8078","5.9584","5.9832","5.7995","-2.48%"
"Jan 03, 2001","5.9552","5.8402","5.9718","5.8194","1.82%"
"Jan 02, 2001","5.8486","5.8509","5.9033","5.8305","-0.03%"
"Dec 29, 2000","5.8502","5.9227","5.9515","5.8412","-1.27%"
"Dec 28, 2000","5.9254","5.8736","5.9441","5.8557","0.82%"
"Dec 27, 2000","5.8773","5.8246","5.8925","5.7813","0.77%"
"Dec 26, 2000","5.8323","5.8224","5.8465","5.7899","0.18%"
"Dec 25, 2000","5.8217","5.8291","5.8453","5.8042","-0.12%"
"Dec 22, 2000","5.8289","5.8767","5.8942","5.8124","-0.90%"
"Dec 21, 2000","5.8816","5.9020","5.9331","5.8574","-0.03%"
"Dec 20, 2000","5.8831","5.9341","5.9554","5.8759","-0.91%"
"Dec 19, 2000","5.9372","5.9221","5.9971","5.8901","0.19%"
"Dec 18, 2000","5.9257","5.9587","5.9764","5.8687","-0.52%"
"Dec 15, 2000","5.9568","5.9933","6.0219","5.9326","-0.95%"
"Dec 14, 2000","6.0137","6.0748","6.0863","6.0059","-1.03%"
"Dec 13, 2000","6.0761","6.0179","6.1015","5.9924","1.00%"
"Dec 12, 2000","6.0158","6.0237","6.0565","5.9991","-0.34%"
"Dec 11, 2000","6.0364","6.0217","6.0770","5.9954","0.29%"
"Dec 08, 2000","6.0190","5.9602","6.0548","5.9368","0.88%"
"Dec 07, 2000","5.9666","5.9008","6.0086","5.8748","0.91%"
"Dec 06, 2000","5.9129","5.9642","5.9830","5.8971","-0.76%"
"Dec 05, 2000","5.9582","5.9522","5.9782","5.9063","0.58%"
"Dec 04, 2000","5.9238","5.9555","5.9906","5.8404","-0.64%"
"Dec 01, 2000","5.9618","6.0202","6.0626","5.9521","-1.09%"
"Nov 30, 2000","6.0273","6.0677","6.0753","5.9985","-0.69%"
"Nov 29, 2000","6.0694","6.0938","6.1029","6.0306","-0.44%"
"Nov 28, 2000","6.0962","6.1235","6.1532","6.0802","-0.58%"
"Nov 27, 2000","6.1315","6.2053","6.2215","6.1204","-1.31%"
"Nov 24, 2000","6.2132","6.1809","6.2238","6.1256","0.64%"
"Nov 23, 2000","6.1738","6.1356","6.1995","6.1169","0.54%"
"Nov 22, 2000","6.1408","6.1308","6.1598","6.0964","0.14%"
"Nov 21, 2000","6.1321","6.0251","6.1526","6.0103","1.79%"
"Nov 20, 2000","6.0240","6.0343","6.0629","6.0110","-0.53%"
"Nov 17, 2000","6.0564","6.0221","6.0660","5.9946","0.42%"
"Nov 16, 2000","6.0313","6.0321","6.0467","6.0053","0.01%"
"Nov 15, 2000","6.0304","6.0459","6.0749","6.0176","-0.18%"
"Nov 14, 2000","6.0415","6.0336","6.0770","5.9992","0.39%"
"Nov 13, 2000","6.0181","6.0112","6.0366","5.9658","-0.20%"
"Nov 10, 2000","6.0300","5.9384","6.0402","5.9130","1.49%"
"Nov 09, 2000","5.9416","6.0227","6.0554","5.9298","-1.42%"
"Nov 08, 2000","6.0271","6.0229","6.0828","5.9738","0.00%"
"Nov 07, 2000","6.0268","6.0494","6.0836","6.0053","-0.28%"
"Nov 06, 2000","6.0440","5.9855","6.1007","5.9479","0.69%"
"Nov 03, 2000","6.0023","6.0327","6.0600","5.9161","-0.45%"
"Nov 02, 2000","6.0294","5.9759","6.0549","5.9641","0.84%"
"Nov 01, 2000","5.9791","6.0848","6.1160","5.9728","-1.99%"
"Oct 31, 2000","6.1002","6.1423","6.1574","6.0635","-0.59%"
"Oct 30, 2000","6.1364","6.1674","6.1906","6.0884","-0.65%"
"Oct 27, 2000","6.1768","6.2595","6.2916","6.1501","-1.42%"
"Oct 26, 2000","6.2658","6.3147","6.3649","6.2539","-0.86%"
"Oct 25, 2000","6.3203","6.2697","6.3462","6.2338","0.61%"
"Oct 24, 2000","6.2817","6.2870","6.3082","6.2484","-0.12%"
"Oct 23, 2000","6.2893","6.2621","6.3160","6.2497","0.46%"
"Oct 20, 2000","6.2608","6.2777","6.3178","6.2332","-0.32%"
"Oct 19, 2000","6.2811","6.2995","6.3147","6.2608","-0.21%"
"Oct 18, 2000","6.2946","6.2013","6.3646","6.1627","1.48%"
"Oct 17, 2000","6.2027","6.2000","6.2461","6.1660","-0.04%"
"Oct 16, 2000","6.2051","6.2321","6.2715","6.1855","-0.57%"
"Oct 13, 2000","6.2407","6.1438","6.2559","6.1131","1.56%"
"Oct 12, 2000","6.1451","6.2051","6.2159","6.1299","-0.60%"
"Oct 11, 2000","6.1820","6.1452","6.2026","6.1075","0.45%"
"Oct 10, 2000","6.1546","6.1634","6.1837","6.1258","-0.12%"
"Oct 09, 2000","6.1623","6.1458","6.1769","6.1239","0.26%"
"Oct 06, 2000","6.1461","6.1673","6.1940","6.1378","-0.39%"
"Oct 05, 2000","6.1703","6.1382","6.1911","6.1088","0.62%"
"Oct 04, 2000","6.1320","6.0973","6.1503","6.0755","0.47%"
"Oct 03, 2000","6.1034","6.0620","6.1177","6.0428","0.40%"
"Oct 02, 2000","6.0791","6.0266","6.0886","5.9967","0.84%"
"Sep 29, 2000","6.0284","6.0668","6.1098","6.0038","-0.64%"
"Sep 28, 2000","6.0675","6.0960","6.1074","6.0185","-0.30%"
"Sep 27, 2000","6.0857","6.1126","6.1367","6.0648","-0.53%"
"Sep 26, 2000","6.1183","6.1682","6.1893","6.1051","-0.92%"
"Sep 25, 2000","6.1753","6.1477","6.1870","6.1089","-0.17%"
"Sep 22, 2000","6.1857","6.2557","6.2929","5.9666","-1.00%"
"Sep 21, 2000","6.2483","6.3245","6.3581","6.2431","-1.27%"
