"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","2.8380","2.8034","2.8440","2.7987","1.31%"
"Aug 20, 2020","2.8012","2.8131","2.8189","2.7987","-0.33%"
"Aug 19, 2020","2.8105","2.7854","2.8195","2.7822","0.94%"
"Aug 18, 2020","2.7842","2.8038","2.8120","2.7807","-0.65%"
"Aug 17, 2020","2.8024","2.7980","2.8122","2.7947","0.25%"
"Aug 14, 2020","2.7955","2.8177","2.8203","2.7966","-0.63%"
"Aug 13, 2020","2.8131","2.8206","2.8261","2.8054","-0.16%"
"Aug 12, 2020","2.8176","2.8214","2.8257","2.8101","-0.06%"
"Aug 11, 2020","2.8194","2.8075","2.8266","2.8017","0.54%"
"Aug 10, 2020","2.8042","2.7965","2.8096","2.7915","0.25%"
"Aug 07, 2020","2.7973","2.7947","2.8042","2.7878","0.06%"
"Aug 06, 2020","2.7956","2.7995","2.8066","2.7845","-0.11%"
"Aug 05, 2020","2.7987","2.7961","2.8052","2.7875","0.09%"
"Aug 04, 2020","2.7962","2.8013","2.8052","2.7863","-0.18%"
"Aug 03, 2020","2.8013","2.7978","2.8150","2.7908","0.27%"
"Jul 31, 2020","2.7938","2.7729","2.8014","2.7561","0.72%"
"Jul 30, 2020","2.7738","2.8001","2.8121","2.7666","-0.95%"
"Jul 29, 2020","2.8003","2.8150","2.8258","2.7977","-0.51%"
"Jul 28, 2020","2.8147","2.7973","2.8198","2.7939","0.64%"
"Jul 27, 2020","2.7969","2.8175","2.8228","2.7845","-0.76%"
"Jul 24, 2020","2.8184","2.8354","2.8397","2.8137","-0.60%"
"Jul 23, 2020","2.8356","2.8491","2.8537","2.8307","-0.46%"
"Jul 22, 2020","2.8486","2.8577","2.8687","2.8359","-0.33%"
"Jul 21, 2020","2.8579","2.8763","2.8860","2.8570","-0.62%"
"Jul 20, 2020","2.8756","2.8849","2.8914","2.8679","-0.33%"
"Jul 17, 2020","2.8852","2.9021","2.9065","2.8812","-0.59%"
"Jul 16, 2020","2.9023","2.9037","2.9197","2.8919","-0.08%"
"Jul 15, 2020","2.9046","2.8836","2.9093","2.8739","0.72%"
"Jul 14, 2020","2.8837","2.9103","2.9146","2.8779","-0.91%"
"Jul 13, 2020","2.9102","2.9072","2.9190","2.9009","0.10%"
"Jul 10, 2020","2.9072","2.9157","2.9226","2.8997","-0.28%"
"Jul 09, 2020","2.9155","2.9232","2.9269","2.9113","-0.26%"
"Jul 08, 2020","2.9232","2.9190","2.9287","2.9121","0.16%"
"Jul 07, 2020","2.9186","2.9165","2.9262","2.9088","0.08%"
"Jul 06, 2020","2.9163","2.9278","2.9322","2.9070","-0.44%"
