"Date","Price","Open","High","Low","Change %"
"Aug 28, 2012","3.3074","3.2985","3.3312","3.2872","0.20%"
"Aug 27, 2012","3.3007","3.2877","3.3119","3.2777","0.17%"
"Aug 24, 2012","3.2952","3.2794","3.3112","3.2690","0.40%"
"Aug 23, 2012","3.2820","3.2776","3.2910","3.2621","-0.10%"
"Aug 22, 2012","3.2854","3.3000","3.3138","3.2701","-0.64%"
"Aug 21, 2012","3.3065","3.3290","3.3418","3.2917","-0.77%"
"Aug 20, 2012","3.3320","3.3285","3.3500","3.3142","-0.04%"
"Aug 17, 2012","3.3335","3.3218","3.3566","3.3134","0.16%"
"Aug 16, 2012","3.3281","3.3459","3.3746","3.3117","-0.85%"
"Aug 15, 2012","3.3565","3.3282","3.3715","3.3217","0.54%"
"Aug 14, 2012","3.3385","3.3339","3.3486","3.3165","0.01%"
"Aug 13, 2012","3.3381","3.3394","3.3587","3.3207","-0.15%"
"Aug 10, 2012","3.3430","3.3227","3.3645","3.3113","0.66%"
"Aug 09, 2012","3.3212","3.3074","3.3434","3.2894","0.44%"
"Aug 08, 2012","3.3065","3.2911","3.3366","3.2804","0.28%"
"Aug 07, 2012","3.2974","3.2522","3.3010","3.2448","1.24%"
"Aug 06, 2012","3.2571","3.2687","3.2911","3.2425","-0.69%"
"Aug 03, 2012","3.2797","3.3499","3.3622","3.2661","-2.25%"
"Aug 02, 2012","3.3552","3.3388","3.3797","3.3038","0.46%"
"Aug 01, 2012","3.3400","3.3320","3.3470","3.3167","0.19%"
"Jul 31, 2012","3.3338","3.3466","3.3618","3.3154","-0.53%"
"Jul 30, 2012","3.3514","3.3340","3.3659","3.3227","0.24%"
"Jul 27, 2012","3.3433","3.3318","3.3575","3.3044","0.27%"
"Jul 26, 2012","3.3342","3.3844","3.4015","3.3151","-1.62%"
"Jul 25, 2012","3.3890","3.4189","3.4296","3.3783","-0.99%"
"Jul 24, 2012","3.4229","3.4028","3.4317","3.3889","0.46%"
"Jul 23, 2012","3.4072","3.3793","3.4281","3.3727","0.74%"
"Jul 20, 2012","3.3821","3.3517","3.3925","3.3461","0.88%"
"Jul 19, 2012","3.3527","3.3545","3.3761","3.3381","-0.13%"
