"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","326.237","323.788","327.062","322.986","0.85%"
"Aug 20, 2020","323.488","322.037","326.139","321.643","0.55%"
"Aug 19, 2020","321.706","323.393","324.975","320.936","-0.46%"
"Aug 18, 2020","323.199","324.421","325.521","323.214","-0.30%"
"Aug 17, 2020","324.173","321.859","324.804","320.855","0.75%"
"Aug 14, 2020","321.769","321.263","322.551","320.485","0.24%"
"Aug 13, 2020","321.011","321.286","321.730","319.395","-0.01%"
"Aug 12, 2020","321.059","320.424","321.786","319.643","0.33%"
"Aug 11, 2020","319.998","320.707","321.648","319.193","-0.12%"
"Aug 10, 2020","320.393","321.454","322.592","319.580","-0.46%"
"Aug 07, 2020","321.858","320.264","322.993","319.655","0.49%"
"Aug 06, 2020","320.291","319.746","322.302","318.716","0.17%"
"Aug 05, 2020","319.763","321.092","322.231","319.193","-0.44%"
"Aug 04, 2020","321.162","319.281","322.354","318.351","0.59%"
"Aug 03, 2020","319.281","319.980","321.518","318.337","-0.24%"
"Jul 31, 2020","320.035","320.283","321.047","318.447","-0.08%"
"Jul 30, 2020","320.283","320.682","322.712","319.791","-0.13%"
"Jul 29, 2020","320.699","322.752","324.074","320.421","-0.64%"
"Jul 28, 2020","322.752","320.144","323.117","319.432","0.81%"
"Jul 27, 2020","320.144","322.405","322.810","318.357","-0.67%"
"Jul 24, 2020","322.290","323.004","324.754","321.544","-0.22%"
"Jul 23, 2020","323.004","323.435","324.465","321.782","-0.14%"
"Jul 22, 2020","323.470","325.364","326.662","322.237","-0.58%"
"Jul 21, 2020","325.370","327.868","328.212","324.934","-0.79%"
"Jul 20, 2020","327.958","329.345","329.665","326.472","-0.41%"
"Jul 17, 2020","329.303","328.670","329.556","328.146","0.20%"
"Jul 16, 2020","328.636","328.065","329.318","326.798","0.14%"
"Jul 15, 2020","328.169","331.659","332.003","327.415","-1.06%"
"Jul 14, 2020","331.686","332.921","333.585","331.383","-0.40%"
"Jul 13, 2020","333.027","332.011","333.153","330.393","0.29%"
"Jul 10, 2020","332.072","333.151","333.862","331.602","-0.34%"
"Jul 09, 2020","333.204","333.582","334.082","332.102","-0.11%"
"Jul 08, 2020","333.582","333.586","335.430","332.996","-0.02%"
"Jul 07, 2020","333.657","330.636","334.143","330.060","0.90%"
"Jul 06, 2020","330.671","332.107","333.842","330.385","-0.45%"
"Jul 03, 2020","332.177","330.763","332.876","329.947","0.43%"
"Jul 02, 2020","330.747","331.534","332.080","328.789","-0.21%"
"Jul 01, 2020","331.444","333.122","334.432","330.747","-0.49%"
"Jun 30, 2020","333.085","333.241","335.335","331.746","-0.04%"
"Jun 29, 2020","333.206","334.096","335.138","332.357","-0.27%"
"Jun 26, 2020","334.100","332.991","335.037","332.341","0.34%"
"Jun 25, 2020","332.956","329.850","333.890","329.385","0.94%"
"Jun 24, 2020","329.856","326.978","330.305","326.421","0.91%"
"Jun 23, 2020","326.892","325.350","327.938","324.669","0.48%"
"Jun 22, 2020","325.344","325.133","325.905","324.114","0.13%"
"Jun 19, 2020","324.923","324.578","325.431","323.262","0.13%"
"Jun 18, 2020","324.494","323.242","325.179","322.205","0.38%"
"Jun 17, 2020","323.259","322.280","323.890","320.630","0.31%"
"Jun 16, 2020","322.254","322.337","324.088","320.666","-0.02%"
"Jun 15, 2020","322.303","323.423","325.708","321.848","-0.34%"
"Jun 12, 2020","323.399","324.163","325.045","321.941","-0.24%"
"Jun 11, 2020","324.163","319.584","325.004","319.201","1.44%"
"Jun 10, 2020","319.553","319.328","320.559","318.513","0.07%"
"Jun 09, 2020","319.339","317.642","321.224","317.099","0.51%"
"Jun 08, 2020","317.705","316.515","318.870","315.346","0.41%"
