"Date","Price","Open","High","Low","Change %"
"Aug 24, 2012","231.721","230.979","232.904","230.044","0.20%"
"Aug 23, 2012","231.265","230.476","231.629","229.127","0.21%"
"Aug 22, 2012","230.777","229.977","231.766","228.146","0.23%"
"Aug 21, 2012","230.240","229.788","230.760","228.146","-0.25%"
"Aug 20, 2012","230.808","231.142","231.958","229.741","-0.14%"
"Aug 17, 2012","231.138","230.862","233.132","230.590","-0.04%"
"Aug 16, 2012","231.238","231.612","232.668","230.352","-0.30%"
"Aug 15, 2012","231.933","232.117","233.030","231.380","-0.17%"
"Aug 14, 2012","232.323","232.214","232.953","231.288","-0.13%"
"Aug 13, 2012","232.616","230.299","233.769","229.837","0.77%"
"Aug 10, 2012","230.841","230.148","232.702","229.771","0.24%"
"Aug 09, 2012","230.299","230.305","231.073","229.420","-0.12%"
"Aug 08, 2012","230.565","230.283","231.740","229.518","-0.01%"
"Aug 07, 2012","230.590","229.087","231.407","228.732","0.57%"
"Aug 06, 2012","229.286","231.167","231.961","228.839","-0.82%"
"Aug 03, 2012","231.179","233.404","234.236","229.918","-1.22%"
"Aug 02, 2012","234.037","233.401","235.260","231.625","0.13%"
"Aug 01, 2012","233.727","234.268","235.324","232.528","-0.37%"
"Jul 31, 2012","234.590","231.847","234.785","230.691","1.12%"
"Jul 30, 2012","231.984","233.023","235.029","230.681","-0.83%"
"Jul 27, 2012","233.915","236.285","237.616","232.696","-1.07%"
"Jul 26, 2012","236.437","239.717","240.963","235.362","-1.49%"
"Jul 25, 2012","240.011","240.872","242.587","239.079","-0.54%"
"Jul 24, 2012","241.306","239.343","242.051","238.828","0.72%"
"Jul 23, 2012","239.588","237.371","240.430","237.300","0.61%"
"Jul 20, 2012","238.132","236.243","239.145","236.105","0.66%"
"Jul 19, 2012","236.581","236.455","237.460","235.563","-0.08%"
"Jul 18, 2012","236.777","238.049","238.749","236.106","-0.71%"
"Jul 17, 2012","238.459","239.602","240.736","237.545","-0.55%"
"Jul 16, 2012","239.768","239.173","240.895","238.727","-0.05%"
"Jul 13, 2012","239.899","241.003","242.608","238.944","-0.63%"
"Jul 12, 2012","241.413","239.825","241.842","239.525","0.45%"
"Jul 11, 2012","240.341","239.871","241.212","238.830","0.03%"
"Jul 10, 2012","240.271","239.799","240.720","238.591","0.12%"
