"Date","Price","Open","High","Low","Change %"
"Jul 29, 2020","9.8956","9.9440","9.9664","9.8755","-0.38%"
"Jul 28, 2020","9.9338","9.8857","9.9648","9.8380","0.49%"
"Jul 27, 2020","9.8857","9.9583","9.9979","9.8339","-0.65%"
"Jul 24, 2020","9.9504","9.9696","10.0106","9.9116","-0.17%"
"Jul 23, 2020","9.9672","9.8310","9.9837","9.7997","1.37%"
"Jul 22, 2020","9.8321","9.7643","9.8560","9.7313","0.69%"
"Jul 21, 2020","9.7649","9.8302","9.8334","9.7309","-0.63%"
"Jul 20, 2020","9.8264","9.9160","9.9230","9.8171","-0.76%"
"Jul 17, 2020","9.9017","9.8372","9.9113","9.8195","0.67%"
"Jul 16, 2020","9.8362","9.8158","9.8948","9.8012","0.18%"
"Jul 15, 2020","9.8189","9.9875","9.9886","9.8099","-1.68%"
"Jul 14, 2020","9.9865","10.0380","10.0836","9.9720","-0.46%"
"Jul 13, 2020","10.0330","10.0336","10.0910","9.9429","0.15%"
"Jul 10, 2020","10.0180","10.0681","10.1347","9.9965","-0.51%"
"Jul 09, 2020","10.0696","9.9948","10.0906","9.9719","0.75%"
"Jul 08, 2020","9.9948","10.0508","10.1017","9.9891","-0.58%"
"Jul 07, 2020","10.0529","9.9759","10.0809","9.9283","0.76%"
"Jul 06, 2020","9.9769","10.0316","10.0880","9.9547","-0.41%"
"Jul 03, 2020","10.0177","10.0828","10.1145","10.0076","-0.65%"
"Jul 02, 2020","10.0830","10.0552","10.1166","9.9926","0.22%"
"Jul 01, 2020","10.0606","10.1600","10.2049","10.0458","-0.98%"
"Jun 30, 2020","10.1599","10.1692","10.2703","10.1368","-0.08%"
"Jun 29, 2020","10.1681","10.2310","10.2838","10.1572","-0.61%"
"Jun 26, 2020","10.2305","10.1868","10.2791","10.1590","0.44%"
"Jun 25, 2020","10.1858","10.1954","10.2656","10.1652","-0.10%"
"Jun 24, 2020","10.1959","10.0813","10.2248","10.0342","1.16%"
"Jun 23, 2020","10.0787","10.1346","10.2108","10.0209","-0.54%"
"Jun 22, 2020","10.1329","10.1174","10.2168","10.0610","0.08%"
"Jun 19, 2020","10.1250","10.0363","10.2228","9.9844","0.87%"
"Jun 18, 2020","10.0377","10.0406","10.1105","9.9488","-0.03%"
"Jun 17, 2020","10.0411","10.0571","10.1149","9.9960","-0.14%"
"Jun 16, 2020","10.0550","10.0487","10.1478","9.9602","0.07%"
"Jun 15, 2020","10.0478","10.1392","10.2891","10.0179","-0.79%"
"Jun 12, 2020","10.1278","10.1742","10.2718","10.0536","-0.62%"
"Jun 11, 2020","10.1906","9.8324","10.2157","9.8207","3.76%"
"Jun 10, 2020","9.8218","9.7449","9.9200","9.6885","0.78%"
"Jun 09, 2020","9.7458","9.6620","9.8596","9.6206","0.79%"
"Jun 08, 2020","9.6698","9.6692","9.7284","9.6109","0.01%"
"Jun 05, 2020","9.6685","9.7928","9.8441","9.6189","-1.27%"
"Jun 04, 2020","9.7933","9.8342","9.9215","9.7298","-0.45%"
"Jun 03, 2020","9.8378","9.9195","9.9381","9.8009","-0.83%"
"Jun 02, 2020","9.9198","10.0023","10.0375","9.8976","-0.83%"
"Jun 01, 2020","10.0027","10.1031","10.1946","9.9881","-1.09%"
"May 29, 2020","10.1126","10.1402","10.2158","10.0513","-0.30%"
"May 28, 2020","10.1426","10.1888","10.2414","10.1016","-0.44%"
"May 27, 2020","10.1872","10.2399","10.2828","10.1019","-0.56%"
"May 26, 2020","10.2443","10.3423","10.3632","10.2017","-0.95%"
"May 25, 2020","10.3423","10.3040","10.3650","10.2771","0.42%"
"May 22, 2020","10.2992","10.2394","10.3991","10.2170","0.55%"
"May 21, 2020","10.2432","10.2670","10.3189","10.2006","-0.19%"
"May 20, 2020","10.2630","10.2759","10.3491","10.2473","-0.13%"
"May 19, 2020","10.2764","10.3259","10.4347","10.2084","-0.49%"
"May 18, 2020","10.3274","10.5238","10.5731","10.2764","-1.95%"
"May 15, 2020","10.5330","10.4301","10.5732","10.4086","1.00%"
"May 14, 2020","10.4290","10.4567","10.5443","10.4228","-0.27%"
"May 13, 2020","10.4571","10.4949","10.5840","10.3751","-0.34%"
"May 12, 2020","10.4932","10.5902","10.6400","10.4141","-0.93%"
"May 11, 2020","10.5913","10.5129","10.6236","10.4376","0.63%"
"May 08, 2020","10.5247","10.5314","10.5778","10.4806","-0.06%"
"May 07, 2020","10.5314","10.7128","10.7387","10.4456","-1.70%"
"May 06, 2020","10.7134","10.5549","10.7280","10.5089","1.53%"
"May 05, 2020","10.5520","10.6973","10.7171","10.5204","-1.36%"
"May 04, 2020","10.6974","10.7136","10.9228","10.6417","-0.14%"
"May 01, 2020","10.7125","10.6073","10.9081","10.5767","0.96%"
"Apr 30, 2020","10.6105","10.6037","10.6569","10.5444","0.06%"
"Apr 29, 2020","10.6038","10.6709","10.7871","10.5718","-0.60%"
"Apr 28, 2020","10.6680","10.7718","10.7983","10.6376","-0.96%"
"Apr 27, 2020","10.7718","10.9776","11.0015","10.7650","-1.31%"
"Apr 24, 2020","10.9151","10.8989","10.9712","10.8469","0.14%"
"Apr 23, 2020","10.9001","11.0820","11.1283","10.8312","-1.66%"
"Apr 22, 2020","11.0836","10.9836","11.1250","10.8821","0.90%"
"Apr 21, 2020","10.9844","10.7999","11.0557","10.7408","1.71%"
"Apr 20, 2020","10.7999","10.6821","10.8287","10.5833","1.11%"
"Apr 17, 2020","10.6811","10.7777","10.8420","10.6597","-0.89%"
"Apr 16, 2020","10.7766","10.8952","10.9676","10.7652","-1.10%"
"Apr 15, 2020","10.8968","10.7365","10.9278","10.7013","1.49%"
"Apr 14, 2020","10.7366","10.6723","10.7600","10.5709","0.62%"
"Apr 13, 2020","10.6702","10.5738","10.6919","10.5180","1.09%"
"Apr 10, 2020","10.5550","10.5907","10.6505","10.5264","-0.37%"
"Apr 09, 2020","10.5940","10.6088","10.7086","10.4714","-0.17%"
"Apr 08, 2020","10.6121","10.6063","10.6855","10.5350","0.05%"
"Apr 07, 2020","10.6063","10.6627","10.7609","10.4399","-0.52%"
"Apr 06, 2020","10.6616","10.7799","10.8882","10.6397","-1.68%"
"Apr 03, 2020","10.8434","10.6750","10.9044","10.6257","1.62%"
"Apr 02, 2020","10.6706","10.8397","10.8782","10.5581","-1.47%"
