"Date","Price","Open","High","Low","Change %"
"May 28, 2001","5.1738","5.1701","5.1913","5.1562","0.08%"
"May 25, 2001","5.1699","5.1894","5.1988","5.1603","-0.45%"
"May 24, 2001","5.1935","5.2094","5.2481","5.1683","-0.33%"
"May 23, 2001","5.2108","5.1835","5.2179","5.1771","0.53%"
"May 22, 2001","5.1835","5.1824","5.1962","5.1610","-0.07%"
"May 21, 2001","5.1873","5.1908","5.1989","5.1669","-0.03%"
"May 18, 2001","5.1891","5.2125","5.2196","5.1671","-0.51%"
"May 17, 2001","5.2157","5.2254","5.2422","5.2052","-0.25%"
"May 16, 2001","5.2289","5.2342","5.2578","5.2052","-0.06%"
"May 15, 2001","5.2321","5.2237","5.2458","5.2136","0.04%"
"May 14, 2001","5.2301","5.2307","5.2381","5.1991","-0.13%"
"May 11, 2001","5.2371","5.2348","5.2422","5.2139","-0.10%"
"May 10, 2001","5.2425","5.2266","5.2499","5.2153","0.28%"
"May 09, 2001","5.2279","5.2112","5.2381","5.2096","0.24%"
"May 08, 2001","5.2153","5.2298","5.2378","5.2047","-0.33%"
"May 07, 2001","5.2324","5.2310","5.2401","5.2123","-0.02%"
"May 04, 2001","5.2333","5.2411","5.2543","5.2156","-0.19%"
"May 03, 2001","5.2430","5.2366","5.2637","5.2295","0.04%"
"May 02, 2001","5.2407","5.2387","5.2622","5.2303","-0.04%"
"May 01, 2001","5.2426","5.2415","5.2571","5.2259","-0.08%"
"Apr 30, 2001","5.2469","5.2599","5.2763","5.2366","-0.38%"
"Apr 27, 2001","5.2667","5.3005","5.3266","5.2518","-0.75%"
"Apr 26, 2001","5.3063","5.3335","5.3415","5.2921","-0.54%"
"Apr 25, 2001","5.3350","5.3163","5.3426","5.3062","0.41%"
"Apr 24, 2001","5.3130","5.3136","5.3349","5.3026","-0.15%"
"Apr 23, 2001","5.3208","5.3180","5.3327","5.2989","0.00%"
"Apr 20, 2001","5.3208","5.2860","5.3390","5.2683","0.51%"
"Apr 19, 2001","5.2939","5.2621","5.2999","5.2403","0.89%"
"Apr 18, 2001","5.2472","5.2694","5.2850","5.2027","-0.48%"
"Apr 17, 2001","5.2725","5.3177","5.3336","5.2603","-0.85%"
