"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","9.1410","9.1917","9.2102","9.1096","-0.54%"
"Aug 20, 2020","9.1907","9.1755","9.1992","9.1465","0.19%"
"Aug 19, 2020","9.1730","9.2467","9.2641","9.1680","-0.79%"
"Aug 18, 2020","9.2459","9.1999","9.2744","9.1957","0.51%"
"Aug 17, 2020","9.1989","9.1775","9.2088","9.1675","0.23%"
"Aug 14, 2020","9.1776","9.1571","9.1858","9.1321","0.25%"
"Aug 13, 2020","9.1547","9.1357","9.1958","9.1313","0.24%"
"Aug 12, 2020","9.1326","9.0988","9.1578","9.0763","0.38%"
"Aug 11, 2020","9.0978","9.0969","9.1514","9.0847","0.03%"
"Aug 10, 2020","9.0955","9.1360","9.1473","9.0952","-0.45%"
"Aug 07, 2020","9.1362","9.2049","9.2107","9.1105","-0.74%"
"Aug 06, 2020","9.2045","9.1940","9.2354","9.1588","0.11%"
"Aug 05, 2020","9.1940","9.1467","9.2274","9.1393","0.51%"
"Aug 04, 2020","9.1475","9.1184","9.1505","9.0836","0.34%"
"Aug 03, 2020","9.1168","9.1322","9.1433","9.0650","-0.13%"
"Jul 31, 2020","9.1292","9.1807","9.2300","9.1142","-0.57%"
"Jul 30, 2020","9.1815","9.1358","9.1832","9.0912","0.47%"
"Jul 29, 2020","9.1389","9.0819","9.1505","9.0784","0.65%"
"Jul 28, 2020","9.0803","9.1090","9.1264","9.0668","-0.32%"
"Jul 27, 2020","9.1091","9.0283","9.1326","9.0206","0.82%"
"Jul 24, 2020","9.0352","8.9886","9.0377","8.9765","0.53%"
"Jul 23, 2020","8.9880","8.9731","9.0126","8.9449","0.21%"
"Jul 22, 2020","8.9692","8.9339","8.9923","8.9186","0.39%"
"Jul 21, 2020","8.9343","8.8727","8.9447","8.8537","0.69%"
"Jul 20, 2020","8.8728","8.8560","8.8921","8.8382","0.13%"
"Jul 17, 2020","8.8612","8.8261","8.8736","8.8204","0.40%"
"Jul 16, 2020","8.8261","8.8462","8.8728","8.8161","-0.23%"
"Jul 15, 2020","8.8465","8.8363","8.8785","8.8284","0.13%"
"Jul 14, 2020","8.8348","8.7910","8.8442","8.7772","0.49%"
"Jul 13, 2020","8.7917","8.7603","8.8173","8.7582","0.36%"
"Jul 10, 2020","8.7605","8.7444","8.7779","8.7225","0.17%"
"Jul 09, 2020","8.7460","8.7801","8.8130","8.7417","-0.40%"
"Jul 08, 2020","8.7809","8.7367","8.7983","8.7282","0.51%"
"Jul 07, 2020","8.7360","8.7639","8.7835","8.7254","-0.33%"
"Jul 06, 2020","8.7646","8.7124","8.7936","8.7108","0.54%"
"Jul 03, 2020","8.7175","8.7114","8.7221","8.6943","0.08%"
"Jul 02, 2020","8.7107","8.7211","8.7605","8.6980","-0.12%"
"Jul 01, 2020","8.7211","8.7059","8.7394","8.6688","0.17%"
"Jun 30, 2020","8.7063","8.7127","8.7291","8.6729","-0.08%"
"Jun 29, 2020","8.7131","8.7015","8.7495","8.6931","0.21%"
"Jun 26, 2020","8.6951","8.6960","8.7116","8.6763","0.01%"
"Jun 25, 2020","8.6941","8.7197","8.7277","8.6728","-0.30%"
"Jun 24, 2020","8.7205","8.7641","8.7781","8.7177","-0.49%"
"Jun 23, 2020","8.7638","8.7268","8.7964","8.7055","0.42%"
"Jun 22, 2020","8.7271","8.6686","8.7347","8.6556","0.74%"
"Jun 19, 2020","8.6627","8.6851","8.7230","8.6553","-0.24%"
"Jun 18, 2020","8.6831","8.7144","8.7294","8.6694","-0.36%"
"Jun 17, 2020","8.7148","8.7296","8.7538","8.6851","-0.17%"
"Jun 16, 2020","8.7297","8.7754","8.7997","8.7014","-0.53%"
"Jun 15, 2020","8.7762","8.7184","8.7841","8.7004","0.60%"
"Jun 12, 2020","8.7235","8.7572","8.7894","8.6894","-0.38%"
"Jun 11, 2020","8.7572","8.8145","8.8383","8.7481","-0.63%"
"Jun 10, 2020","8.8126","8.7901","8.8529","8.7750","0.29%"
"Jun 09, 2020","8.7874","8.7552","8.8084","8.7114","0.39%"
"Jun 08, 2020","8.7529","8.7495","8.7736","8.7324","0.07%"
"Jun 05, 2020","8.7470","8.7866","8.8231","8.7405","-0.46%"
"Jun 04, 2020","8.7870","8.7067","8.8061","8.6759","0.92%"
"Jun 03, 2020","8.7067","8.6593","8.7247","8.6550","0.56%"
"Jun 02, 2020","8.6585","8.6323","8.6780","8.6147","0.32%"
"Jun 01, 2020","8.6308","8.6010","8.6468","8.6002","0.32%"
"May 29, 2020","8.6030","8.5883","8.6426","8.5820","0.17%"
"May 28, 2020","8.5883","8.5336","8.6005","8.5224","0.64%"
"May 27, 2020","8.5340","8.5150","8.5520","8.4766","0.24%"
"May 26, 2020","8.5139","8.4527","8.5258","8.4458","0.72%"
"May 25, 2020","8.4526","8.4564","8.4640","8.4306","-0.03%"
"May 22, 2020","8.4554","8.4908","8.4997","8.4426","-0.43%"
"May 21, 2020","8.4915","8.5092","8.5368","8.4812","-0.20%"
"May 20, 2020","8.5088","8.4662","8.5252","8.4619","0.50%"
"May 19, 2020","8.4662","8.4591","8.5082","8.4495","0.09%"
"May 18, 2020","8.4587","8.3839","8.4703","8.3713","0.89%"
"May 15, 2020","8.3838","8.3762","8.4106","8.3619","0.09%"
"May 14, 2020","8.3762","8.3856","8.3908","8.3509","-0.10%"
"May 13, 2020","8.3849","8.4082","8.4457","8.3795","-0.28%"
"May 12, 2020","8.4082","8.3761","8.4368","8.3582","0.37%"
"May 11, 2020","8.3769","8.4046","8.4110","8.3710","-0.32%"
"May 08, 2020","8.4035","8.3966","8.4314","8.3830","0.07%"
"May 07, 2020","8.3974","8.3687","8.3983","8.3448","0.34%"
