"Date","Price","Open","High","Low","Change %"
"Aug 23, 1999","8.1441","8.2849","8.2903","8.1218","-1.74%"
"Aug 20, 1999","8.2882","8.2537","8.3002","8.2454","0.31%"
"Aug 19, 1999","8.2628","8.1672","8.2662","8.1163","1.17%"
"Aug 18, 1999","8.1669","8.1580","8.2011","8.1483","0.12%"
"Aug 17, 1999","8.1570","8.2143","8.2174","8.1414","-0.72%"
"Aug 16, 1999","8.2160","8.2063","8.2316","8.1855","0.19%"
"Aug 13, 1999","8.2005","8.2831","8.3081","8.1934","-1.07%"
"Aug 12, 1999","8.2892","8.2693","8.2931","8.2437","0.21%"
"Aug 11, 1999","8.2715","8.3099","8.3267","8.2579","-0.47%"
"Aug 10, 1999","8.3104","8.3217","8.3592","8.3024","-0.17%"
"Aug 09, 1999","8.3246","8.3253","8.3351","8.2889","-0.08%"
"Aug 06, 1999","8.3316","8.3485","8.3815","8.3198","-0.27%"
"Aug 05, 1999","8.3544","8.3640","8.4057","8.3367","-0.11%"
"Aug 04, 1999","8.3634","8.2884","8.3815","8.2798","0.91%"
"Aug 03, 1999","8.2881","8.2906","8.3110","8.2481","-0.12%"
"Aug 02, 1999","8.2978","8.2893","8.3143","8.2469","-0.16%"
"Jul 30, 1999","8.3109","8.3127","8.3414","8.2828","-0.15%"
"Jul 29, 1999","8.3233","8.2752","8.3374","8.2658","0.53%"
"Jul 28, 1999","8.2794","8.2520","8.3014","8.2159","0.32%"
"Jul 27, 1999","8.2526","8.2577","8.3064","8.2305","-0.23%"
"Jul 26, 1999","8.2715","8.1604","8.3238","8.1576","1.36%"
"Jul 23, 1999","8.1608","8.1514","8.1877","8.1125","0.08%"
"Jul 22, 1999","8.1543","8.1561","8.2083","8.1251","-0.21%"
"Jul 21, 1999","8.1716","8.0699","8.1870","8.0632","1.16%"
"Jul 20, 1999","8.0780","8.0024","8.0981","7.9736","0.95%"
"Jul 19, 1999","8.0018","7.8997","8.0217","7.8521","1.10%"
"Jul 16, 1999","7.9146","7.9110","7.9390","7.8985","0.10%"
"Jul 15, 1999","7.9070","7.9147","7.9572","7.8997","-0.14%"
"Jul 14, 1999","7.9177","7.8889","7.9367","7.8526","0.37%"
"Jul 13, 1999","7.8882","7.8741","7.9255","7.8404","0.19%"
"Jul 12, 1999","7.8731","7.9086","7.9139","7.8444","-0.53%"
"Jul 09, 1999","7.9150","7.9284","7.9514","7.8846","-0.19%"
"Jul 08, 1999","7.9297","7.9041","7.9373","7.8705","0.01%"
"Jul 07, 1999","7.9287","7.9485","7.9703","7.9086","-0.19%"
"Jul 06, 1999","7.9437","7.9304","7.9614","7.8983","0.16%"
"Jul 05, 1999","7.9311","7.9482","7.9581","7.9210","-0.24%"
"Jul 02, 1999","7.9503","7.9432","7.9585","7.9184","0.14%"
"Jul 01, 1999","7.9391","8.0365","8.0617","7.9117","-1.18%"
"Jun 30, 1999","8.0335","8.0135","8.0384","7.9816","0.30%"
"Jun 29, 1999","8.0095","8.0096","8.0447","7.9994","-0.08%"
"Jun 28, 1999","8.0156","8.0646","8.0969","8.0095","-0.92%"
"Jun 25, 1999","8.0904","8.0708","8.1316","8.0700","0.25%"
"Jun 24, 1999","8.0699","8.0157","8.0808","7.9917","0.64%"
"Jun 23, 1999","8.0187","8.0092","8.0295","7.9653","0.09%"
"Jun 22, 1999","8.0117","8.0212","8.0372","7.9823","-0.22%"
"Jun 21, 1999","8.0296","8.0569","8.0863","7.9940","-0.43%"
"Jun 18, 1999","8.0644","8.0198","8.0890","7.9825","0.46%"
"Jun 17, 1999","8.0273","7.9923","8.0369","7.9807","0.38%"
"Jun 16, 1999","7.9970","8.0864","8.0987","7.9785","-1.12%"
"Jun 15, 1999","8.0877","8.0812","8.0996","8.0486","0.03%"
"Jun 14, 1999","8.0850","8.1521","8.1582","8.0691","-0.89%"
"Jun 11, 1999","8.1577","8.1293","8.1909","8.1164","0.32%"
"Jun 10, 1999","8.1315","8.1197","8.1639","8.0907","0.13%"
"Jun 09, 1999","8.1213","8.1134","8.1379","8.0826","0.04%"
"Jun 08, 1999","8.1178","7.9814","8.1239","7.9599","1.58%"
"Jun 07, 1999","7.9915","8.0329","8.0415","7.9534","-0.70%"
"Jun 04, 1999","8.0479","7.9995","8.0510","7.9614","0.51%"
"Jun 03, 1999","8.0073","8.0308","8.0821","7.9877","-0.34%"
"Jun 02, 1999","8.0346","8.1022","8.1147","8.0052","-0.90%"
"Jun 01, 1999","8.1074","8.0807","8.1250","8.0764","0.31%"
"May 31, 1999","8.0824","8.1076","8.1354","8.0711","-0.07%"
"May 28, 1999","8.0883","8.0817","8.1488","8.0569","0.09%"
"May 27, 1999","8.0813","8.1016","8.1373","8.0687","-0.19%"
"May 26, 1999","8.0965","8.2314","8.2433","8.0923","-1.64%"
"May 25, 1999","8.2311","8.2200","8.2552","8.1872","0.09%"
"May 24, 1999","8.2233","8.1906","8.2283","8.1781","0.14%"
"May 21, 1999","8.2119","8.2285","8.2339","8.1740","-0.30%"
"May 20, 1999","8.2366","8.2658","8.3030","8.2264","-0.39%"
"May 19, 1999","8.2687","8.2789","8.2889","8.2318","-0.16%"
"May 18, 1999","8.2819","8.2662","8.3054","8.2577","0.17%"
"May 17, 1999","8.2677","8.2729","8.2889","8.2463","0.07%"
"May 14, 1999","8.2620","8.2653","8.3297","8.2405","0.04%"
"May 13, 1999","8.2587","8.2478","8.2753","8.2147","0.04%"
"May 12, 1999","8.2553","8.3016","8.3233","8.2422","-0.53%"
"May 11, 1999","8.2990","8.3589","8.3760","8.2934","-0.69%"
"May 10, 1999","8.3569","8.3124","8.4034","8.2961","0.24%"
"May 07, 1999","8.3369","8.3670","8.3845","8.3235","-0.26%"
"May 06, 1999","8.3590","8.3342","8.3922","8.3197","0.19%"
"May 05, 1999","8.3429","8.2371","8.3511","8.1755","1.23%"
"May 04, 1999","8.2414","8.1871","8.2444","8.1810","0.66%"
"May 03, 1999","8.1876","8.2054","8.2184","8.1743","-0.07%"
"Apr 30, 1999","8.1931","8.2272","8.2455","8.1667","-0.40%"
"Apr 29, 1999","8.2259","8.2344","8.2459","8.1930","-0.13%"
"Apr 28, 1999","8.2369","8.2576","8.2922","8.2161","-0.34%"
"Apr 27, 1999","8.2653","8.2026","8.2691","8.1988","0.69%"
"Apr 26, 1999","8.2087","8.2201","8.2388","8.1948","-0.12%"
"Apr 23, 1999","8.2189","8.2480","8.2834","8.2087","-0.41%"
"Apr 22, 1999","8.2525","8.2010","8.2612","8.1809","0.59%"
"Apr 21, 1999","8.2039","8.2260","8.2397","8.1892","-0.36%"
"Apr 20, 1999","8.2334","8.2614","8.2794","8.2173","-0.38%"
"Apr 19, 1999","8.2646","8.2681","8.2928","8.1997","-0.42%"
"Apr 16, 1999","8.2996","8.2868","8.3050","8.2335","0.08%"
"Apr 15, 1999","8.2926","8.3745","8.3793","8.2800","-0.93%"
"Apr 14, 1999","8.3708","8.3540","8.3847","8.3390","0.18%"
"Apr 13, 1999","8.3560","8.3726","8.3941","8.3229","-0.22%"
"Apr 12, 1999","8.3748","8.3797","8.4311","8.3687","0.04%"
"Apr 09, 1999","8.3713","8.3159","8.3790","8.3107","0.42%"
"Apr 08, 1999","8.3361","8.3390","8.4323","8.3046","-0.09%"
"Apr 07, 1999","8.3434","8.3976","8.4097","8.3328","-0.64%"
"Apr 06, 1999","8.3968","8.3001","8.4138","8.2913","1.10%"
"Apr 05, 1999","8.3053","8.3575","8.3650","8.2910","-0.72%"
"Apr 02, 1999","8.3658","8.3578","8.3767","8.3385","-0.03%"
"Apr 01, 1999","8.3684","8.3464","8.3888","8.3078","0.27%"
"Mar 31, 1999","8.3462","8.3031","8.3904","8.2829","0.44%"
"Mar 30, 1999","8.3096","8.3105","8.3549","8.2854","-0.11%"
"Mar 29, 1999","8.3188","8.3240","8.3632","8.2738","-0.32%"
"Mar 26, 1999","8.3455","8.3976","8.4221","8.2986","-0.60%"
"Mar 25, 1999","8.3962","8.4224","8.4561","8.3865","-0.45%"
"Mar 24, 1999","8.4343","8.4443","8.4966","8.4262","-0.28%"
"Mar 23, 1999","8.4578","8.4526","8.4700","8.4065","0.01%"
"Mar 22, 1999","8.4566","8.4557","8.4659","8.4009","0.12%"
"Mar 19, 1999","8.4468","8.5045","8.5267","8.4262","-0.70%"
"Mar 18, 1999","8.5066","8.5125","8.5786","8.4867","-0.22%"
"Mar 17, 1999","8.5251","8.5202","8.5599","8.4731","0.09%"
"Mar 16, 1999","8.5171","8.4619","8.5312","8.3769","0.44%"
"Mar 15, 1999","8.4794","8.4397","8.4942","8.4309","0.28%"
"Mar 12, 1999","8.4556","8.5569","8.5618","8.4371","-1.08%"
"Mar 11, 1999","8.5475","8.4759","8.5718","8.3643","0.79%"
"Mar 10, 1999","8.4809","8.4345","8.5059","8.4252","0.50%"
"Mar 09, 1999","8.4385","8.4337","8.4641","8.4099","0.05%"
"Mar 08, 1999","8.4339","8.3826","8.4681","8.3663","0.48%"
"Mar 05, 1999","8.3936","8.3684","8.4199","8.3532","0.21%"
"Mar 04, 1999","8.3759","8.4224","8.4338","8.3571","-0.68%"
"Mar 03, 1999","8.4333","8.4781","8.4826","8.4230","-0.46%"
"Mar 02, 1999","8.4721","8.4388","8.4778","8.4084","0.42%"
"Mar 01, 1999","8.4367","8.5080","8.5435","8.4055","-1.23%"
"Feb 26, 1999","8.5416","8.5475","8.5583","8.4816","-0.15%"
"Feb 25, 1999","8.5546","8.5234","8.5842","8.5038","0.32%"
"Feb 24, 1999","8.5269","8.5276","8.5619","8.4616","-0.02%"
"Feb 23, 1999","8.5286","8.5398","8.5890","8.4730","-0.24%"
