"Date","Price","Open","High","Low","Change %"
"Feb 06, 2009","18.3659","18.3683","18.4771","18.1268","0.14%"
"Feb 05, 2009","18.3406","18.5438","18.7464","18.2425","-1.30%"
"Feb 04, 2009","18.5828","18.9821","19.0138","18.4747","-2.18%"
"Feb 03, 2009","18.9973","18.6086","19.0217","18.4089","2.25%"
"Feb 02, 2009","18.5791","18.2236","18.6824","18.1077","1.20%"
"Jan 30, 2009","18.3582","18.3595","18.5856","18.1053","-0.15%"
"Jan 29, 2009","18.3858","18.4347","18.6694","18.2463","-0.36%"
"Jan 28, 2009","18.4523","18.7342","18.9373","18.3573","-1.44%"
"Jan 27, 2009","18.7216","18.5533","18.8347","18.3897","0.98%"
"Jan 26, 2009","18.5396","18.2056","18.5800","17.8704","1.92%"
"Jan 23, 2009","18.1899","18.3161","18.4634","17.9428","-0.40%"
"Jan 22, 2009","18.2625","17.9474","18.3587","17.7760","1.50%"
"Jan 21, 2009","17.9919","18.0770","18.2502","17.8353","-0.56%"
"Jan 20, 2009","18.0936","18.1307","18.2768","17.9242","-0.42%"
"Jan 19, 2009","18.1707","18.5151","18.6309","18.0939","-1.75%"
"Jan 16, 2009","18.4947","18.2897","18.5172","18.1112","0.79%"
"Jan 15, 2009","18.3498","18.6036","18.7569","18.2661","-1.09%"
"Jan 14, 2009","18.5511","18.2080","18.6921","18.1459","1.76%"
"Jan 13, 2009","18.2294","18.4118","18.4584","18.1335","-1.13%"
"Jan 12, 2009","18.4381","18.2963","18.5388","18.1765","0.58%"
"Jan 09, 2009","18.3323","18.7388","18.9034","18.1962","-2.13%"
"Jan 08, 2009","18.7309","18.3617","18.7636","18.1541","1.93%"
"Jan 07, 2009","18.3766","18.0815","18.4958","17.9331","1.73%"
"Jan 06, 2009","18.0649","18.3033","18.4859","17.6348","-1.30%"
"Jan 05, 2009","18.3021","19.0179","19.2548","18.2001","-3.75%"
"Jan 02, 2009","19.0160","19.4123","19.4985","18.8376","-1.93%"
"Jan 01, 2009","19.3909","19.0560","19.5031","19.0019","1.47%"
"Dec 31, 2008","19.1097","19.2803","19.5977","18.8919","-1.24%"
"Dec 30, 2008","19.3497","19.1137","19.5944","18.9556","1.00%"
"Dec 29, 2008","19.1590","18.7603","19.3377","18.7589","1.48%"
"Dec 26, 2008","18.8802","18.6142","18.9678","18.4368","1.28%"
"Dec 25, 2008","18.6407","18.5605","18.7867","18.4694","0.12%"
"Dec 24, 2008","18.6183","18.5636","18.7747","18.3927","0.19%"
"Dec 23, 2008","18.5833","18.3476","18.6611","18.2725","1.08%"
"Dec 22, 2008","18.3852","18.2866","18.6028","18.0638","0.64%"
"Dec 19, 2008","18.2674","18.7442","18.8618","18.0669","-2.27%"
"Dec 18, 2008","18.6908","18.8529","19.5372","18.5523","-0.71%"
"Dec 17, 2008","18.8248","18.3075","18.9727","18.2075","2.63%"
"Dec 16, 2008","18.3432","18.2109","18.6178","18.0285","0.54%"
"Dec 15, 2008","18.2449","18.0225","18.5091","17.9035","1.06%"
"Dec 12, 2008","18.0529","17.6974","18.2497","17.5440","1.81%"
"Dec 11, 2008","17.7317","17.4114","17.7826","17.3818","1.84%"
"Dec 10, 2008","17.4106","17.5196","17.6290","17.2753","-0.59%"
"Dec 09, 2008","17.5145","17.3920","17.6061","17.1677","0.68%"
"Dec 08, 2008","17.3957","17.5514","17.7119","17.1626","0.34%"
"Dec 05, 2008","17.3366","17.3588","17.5750","17.1046","-0.20%"
"Dec 04, 2008","17.3706","17.2753","17.4415","16.9402","0.42%"
"Dec 03, 2008","17.2974","17.2489","17.4096","17.0542","0.05%"
"Dec 02, 2008","17.2886","17.1681","17.4130","16.9593","0.24%"
"Dec 01, 2008","17.2471","17.0491","17.5086","16.9434","0.98%"
"Nov 28, 2008","17.0801","17.0307","17.1648","16.7042","0.31%"
"Nov 27, 2008","17.0277","16.9464","17.3997","16.8123","0.34%"
"Nov 26, 2008","16.9703","17.2647","17.8233","16.9014","-1.71%"
"Nov 25, 2008","17.2660","17.3480","17.4418","17.0606","-0.28%"
"Nov 24, 2008","17.3150","17.3288","17.5926","16.9489","0.30%"
"Nov 21, 2008","17.2634","17.3056","17.7073","17.0018","-0.73%"
"Nov 20, 2008","17.3912","16.9215","17.4807","16.5488","4.09%"
"Nov 19, 2008","16.7081","16.5703","17.0271","16.4065","0.64%"
"Nov 18, 2008","16.6023","16.6345","16.7881","16.4777","-0.29%"
"Nov 17, 2008","16.6507","16.3417","16.7014","16.1776","1.24%"
"Nov 14, 2008","16.4468","16.5102","16.6240","16.2953","-0.91%"
"Nov 13, 2008","16.5982","16.2932","16.6762","16.0763","1.75%"
