"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","10.6256","10.5780","10.6630","10.5444","0.47%"
"Aug 20, 2020","10.5754","10.5590","10.6461","10.5184","0.20%"
"Aug 19, 2020","10.5539","10.5518","10.5738","10.5176","0.05%"
"Aug 18, 2020","10.5491","10.5043","10.5739","10.4881","0.50%"
"Aug 17, 2020","10.4964","10.5313","10.5582","10.4874","-0.19%"
"Aug 14, 2020","10.5168","10.4957","10.5518","10.4831","0.25%"
"Aug 13, 2020","10.4906","10.5413","10.5715","10.4883","-0.41%"
"Aug 12, 2020","10.5336","10.5840","10.6187","10.5193","-0.45%"
"Aug 11, 2020","10.5813","10.6070","10.6189","10.5386","-0.21%"
"Aug 10, 2020","10.6039","10.6566","10.6986","10.5829","-0.49%"
"Aug 07, 2020","10.6566","10.6532","10.6978","10.6189","0.04%"
"Aug 06, 2020","10.6528","10.6182","10.6761","10.6018","0.32%"
"Aug 05, 2020","10.6191","10.7436","10.7561","10.6154","-1.17%"
"Aug 04, 2020","10.7445","10.7440","10.7720","10.7091","0.02%"
"Aug 03, 2020","10.7427","10.7483","10.8035","10.6715","0.16%"
"Jul 31, 2020","10.7252","10.7521","10.7949","10.7000","-0.26%"
"Jul 30, 2020","10.7530","10.6454","10.8174","10.6341","0.98%"
"Jul 29, 2020","10.6490","10.6853","10.7192","10.6395","-0.32%"
"Jul 28, 2020","10.6834","10.6867","10.7213","10.6513","-0.03%"
"Jul 27, 2020","10.6867","10.6817","10.7395","10.6273","0.09%"
"Jul 24, 2020","10.6772","10.6994","10.7489","10.6471","-0.18%"
"Jul 23, 2020","10.6969","10.5806","10.7161","10.5402","1.14%"
"Jul 22, 2020","10.5760","10.5036","10.6000","10.4662","0.68%"
"Jul 21, 2020","10.5041","10.5642","10.5667","10.4611","-0.53%"
"Jul 20, 2020","10.5601","10.6308","10.6473","10.5550","-0.58%"
"Jul 17, 2020","10.6215","10.5872","10.6324","10.5728","0.32%"
"Jul 16, 2020","10.5872","10.5803","10.6510","10.5689","0.06%"
"Jul 15, 2020","10.5808","10.6980","10.7065","10.5742","-1.08%"
"Jul 14, 2020","10.6961","10.7138","10.7662","10.6853","-0.17%"
"Jul 13, 2020","10.7147","10.6519","10.7528","10.6340","0.58%"
"Jul 10, 2020","10.6524","10.6811","10.7547","10.6322","-0.29%"
"Jul 09, 2020","10.6829","10.6244","10.7105","10.6032","0.54%"
"Jul 08, 2020","10.6253","10.6788","10.7249","10.6216","-0.49%"
"Jul 07, 2020","10.6778","10.6287","10.7113","10.5913","0.45%"
"Jul 06, 2020","10.6297","10.6691","10.7232","10.5967","-0.27%"
"Jul 03, 2020","10.6587","10.7134","10.7442","10.6398","-0.50%"
"Jul 02, 2020","10.7125","10.7066","10.7507","10.6454","0.05%"
"Jul 01, 2020","10.7066","10.8102","10.8567","10.6968","-0.96%"
"Jun 30, 2020","10.8106","10.8743","10.9532","10.7885","-0.59%"
"Jun 29, 2020","10.8749","10.8897","10.9408","10.8296","-0.06%"
"Jun 26, 2020","10.8819","10.8363","10.9305","10.8129","0.42%"
"Jun 25, 2020","10.8368","10.8733","10.9361","10.8214","-0.34%"
"Jun 24, 2020","10.8742","10.7694","10.9089","10.7235","0.98%"
"Jun 23, 2020","10.7690","10.8131","10.8881","10.7138","-0.41%"
"Jun 22, 2020","10.8135","10.7851","10.8708","10.7207","0.33%"
"Jun 19, 2020","10.7774","10.7021","10.8827","10.6462","0.73%"
"Jun 18, 2020","10.6997","10.7105","10.7916","10.6250","-0.11%"
"Jun 17, 2020","10.7109","10.7744","10.8338","10.6786","-0.59%"
"Jun 16, 2020","10.7744","10.7986","10.8749","10.6821","-0.23%"
"Jun 15, 2020","10.7996","10.8298","11.0223","10.7626","-0.53%"
"Jun 12, 2020","10.8572","10.8719","10.9447","10.7776","-0.14%"
"Jun 11, 2020","10.8719","10.5553","10.8901","10.5547","3.02%"
"Jun 10, 2020","10.5529","10.5089","10.6460","10.4527","0.45%"
"Jun 09, 2020","10.5056","10.4501","10.5997","10.4169","0.45%"
"Jun 08, 2020","10.4585","10.5057","10.5453","10.4402","-0.43%"
"Jun 05, 2020","10.5037","10.6090","10.6607","10.4774","-1.00%"
"Jun 04, 2020","10.6096","10.6235","10.6868","10.5639","-0.13%"
"Jun 03, 2020","10.6235","10.6634","10.7097","10.5979","-0.38%"
"Jun 02, 2020","10.6636","10.7022","10.7367","10.6459","-0.36%"
"Jun 01, 2020","10.7025","10.7793","10.8954","10.6928","-0.81%"
"May 29, 2020","10.7901","10.8307","10.9059","10.7647","-0.40%"
"May 28, 2020","10.8333","10.8574","10.9252","10.7947","-0.23%"
"May 27, 2020","10.8579","10.8643","10.9200","10.8049","-0.05%"
"May 26, 2020","10.8628","10.9598","10.9742","10.8321","-0.88%"
"May 25, 2020","10.9598","10.9159","10.9731","10.8857","0.52%"
"May 22, 2020","10.9026","10.8849","11.0174","10.8577","0.15%"
"May 21, 2020","10.8859","10.8788","10.9448","10.8479","0.10%"
"May 20, 2020","10.8745","10.9088","10.9678","10.8647","-0.27%"
"May 19, 2020","10.9039","10.9446","11.0657","10.8502","-0.37%"
"May 18, 2020","10.9441","11.0638","11.1146","10.9279","-1.13%"
"May 15, 2020","11.0690","10.9665","11.1207","10.9472","0.93%"
"May 14, 2020","10.9665","10.9965","11.0806","10.9597","-0.28%"
"May 13, 2020","10.9969","11.0377","11.1327","10.9214","-0.35%"
"May 12, 2020","11.0358","11.1381","11.1888","10.9530","-0.93%"
"May 11, 2020","11.1391","11.0641","11.1676","10.9953","0.57%"
"May 08, 2020","11.0761","11.1021","11.1347","11.0403","-0.23%"
"May 07, 2020","11.1016","11.2760","11.3038","11.0090","-1.55%"
"May 06, 2020","11.2760","11.1257","11.2977","11.0764","1.38%"
"May 05, 2020","11.1225","11.2614","11.2811","11.0960","-1.23%"
"May 04, 2020","11.2615","11.3088","11.5140","11.2227","-0.42%"
"May 01, 2020","11.3093","11.2226","11.5218","11.1889","0.76%"
"Apr 30, 2020","11.2237","11.2282","11.2643","11.1505","-0.04%"
