"Date","Price","Open","High","Low","Change %"
"Jul 23, 1999","8.2467","8.2578","8.2931","8.2111","-0.20%"
"Jul 22, 1999","8.2636","8.2636","8.3241","8.2302","-0.21%"
"Jul 21, 1999","8.2812","8.1897","8.2976","8.1537","1.00%"
"Jul 20, 1999","8.1991","8.1621","8.2070","8.1014","0.44%"
"Jul 19, 1999","8.1631","8.1059","8.1825","8.0661","0.44%"
"Jul 16, 1999","8.1275","8.1410","8.1593","8.1046","-0.15%"
"Jul 15, 1999","8.1396","8.1476","8.1903","8.1179","-0.17%"
"Jul 14, 1999","8.1534","8.1473","8.1631","8.1120","0.05%"
"Jul 13, 1999","8.1495","8.1057","8.1612","8.0783","0.50%"
"Jul 12, 1999","8.1091","8.1152","8.1897","8.0790","-0.05%"
"Jul 09, 1999","8.1133","8.1023","8.1475","8.0708","0.06%"
"Jul 08, 1999","8.1082","8.0839","8.1163","8.0473","0.32%"
"Jul 07, 1999","8.0821","8.0658","8.1069","8.0532","0.21%"
"Jul 06, 1999","8.0653","8.0565","8.0845","8.0431","0.07%"
"Jul 05, 1999","8.0599","8.0756","8.0954","8.0470","-0.27%"
"Jul 02, 1999","8.0821","8.0791","8.1027","8.0472","-0.03%"
"Jul 01, 1999","8.0845","8.1031","8.1225","8.0463","-0.81%"
"Jun 30, 1999","8.1507","8.1250","8.1527","8.0792","0.29%"
"Jun 29, 1999","8.1269","8.1312","8.1484","8.0900","-0.17%"
"Jun 28, 1999","8.1405","8.1418","8.1678","8.1131","-0.01%"
"Jun 25, 1999","8.1415","8.1201","8.1758","8.1015","0.23%"
"Jun 24, 1999","8.1228","8.0880","8.1488","8.0638","0.36%"
"Jun 23, 1999","8.0937","8.0943","8.1247","8.0442","-0.08%"
"Jun 22, 1999","8.1005","8.0749","8.1159","8.0659","0.17%"
"Jun 21, 1999","8.0871","8.1266","8.1505","8.0564","-0.19%"
"Jun 18, 1999","8.1025","8.1299","8.1826","8.0933","-0.36%"
"Jun 17, 1999","8.1321","8.1601","8.1766","8.1200","-0.43%"
"Jun 16, 1999","8.1669","8.1794","8.2011","8.1408","-0.18%"
"Jun 15, 1999","8.1813","8.1798","8.1994","8.1554","-0.16%"
"Jun 14, 1999","8.1947","8.1848","8.2119","8.1601","-0.13%"
"Jun 11, 1999","8.2051","8.2054","8.2439","8.1764","-0.11%"
"Jun 10, 1999","8.2143","8.2087","8.2325","8.1716","0.01%"
"Jun 09, 1999","8.2133","8.2040","8.2433","8.1725","0.10%"
"Jun 08, 1999","8.2052","8.1763","8.2143","8.1674","0.16%"
"Jun 07, 1999","8.1925","8.2013","8.2398","8.1698","-0.46%"
"Jun 04, 1999","8.2305","8.2271","8.2543","8.2026","-0.02%"
"Jun 03, 1999","8.2321","8.2271","8.2731","8.1980","-0.05%"
"Jun 02, 1999","8.2361","8.2308","8.2633","8.2044","0.00%"
