"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","1.8030","1.8148","1.8180","1.8009","-0.61%"
"Aug 20, 2020","1.8141","1.8050","1.8229","1.8031","0.56%"
"Aug 19, 2020","1.8040","1.8075","1.8097","1.7944","-0.15%"
"Aug 18, 2020","1.8068","1.8092","1.8195","1.8051","-0.14%"
"Aug 17, 2020","1.8093","1.8058","1.8184","1.8054","-0.04%"
"Aug 14, 2020","1.8100","1.8046","1.8119","1.8022","0.35%"
"Aug 13, 2020","1.8036","1.7919","1.8060","1.7891","0.71%"
"Aug 12, 2020","1.7908","1.7850","1.8003","1.7830","0.35%"
"Aug 11, 2020","1.7846","1.7809","1.7909","1.7728","0.25%"
"Aug 10, 2020","1.7801","1.7845","1.7887","1.7797","-0.27%"
"Aug 07, 2020","1.7850","1.7759","1.7872","1.7723","0.52%"
"Aug 06, 2020","1.7758","1.7847","1.7919","1.7746","-0.50%"
"Aug 05, 2020","1.7847","1.7823","1.7873","1.7750","0.13%"
"Aug 04, 2020","1.7824","1.7789","1.7861","1.7756","0.19%"
"Aug 03, 2020","1.7790","1.7778","1.7832","1.7686","0.12%"
"Jul 31, 2020","1.7769","1.7682","1.7807","1.7673","0.48%"
"Jul 30, 2020","1.7684","1.7676","1.7779","1.7659","0.01%"
"Jul 29, 2020","1.7682","1.7591","1.7710","1.7577","0.53%"
"Jul 28, 2020","1.7588","1.7579","1.7665","1.7555","0.03%"
"Jul 27, 2020","1.7582","1.7546","1.7623","1.7490","0.25%"
"Jul 24, 2020","1.7538","1.7478","1.7571","1.7452","0.35%"
"Jul 23, 2020","1.7477","1.7373","1.7507","1.7318","0.64%"
"Jul 22, 2020","1.7366","1.7352","1.7408","1.7285","0.07%"
"Jul 21, 2020","1.7354","1.7408","1.7436","1.7262","-0.30%"
"Jul 20, 2020","1.7406","1.7440","1.7493","1.7385","-0.12%"
"Jul 17, 2020","1.7426","1.7420","1.7502","1.7374","0.05%"
"Jul 16, 2020","1.7418","1.7363","1.7450","1.7344","0.31%"
"Jul 15, 2020","1.7364","1.7426","1.7461","1.7343","-0.34%"
"Jul 14, 2020","1.7422","1.7342","1.7492","1.7333","0.45%"
"Jul 13, 2020","1.7344","1.7170","1.7356","1.7166","1.01%"
"Jul 10, 2020","1.7170","1.7177","1.7222","1.7163","-0.03%"
"Jul 09, 2020","1.7177","1.7228","1.7273","1.7162","-0.31%"
"Jul 08, 2020","1.7229","1.7216","1.7284","1.7187","0.09%"
"Jul 07, 2020","1.7214","1.7253","1.7286","1.7160","-0.22%"
"Jul 06, 2020","1.7253","1.7216","1.7315","1.7180","0.22%"
"Jul 03, 2020","1.7215","1.7262","1.7282","1.7193","-0.26%"
"Jul 02, 2020","1.7261","1.7372","1.7384","1.7240","-0.64%"
"Jul 01, 2020","1.7372","1.7404","1.7429","1.7328","-0.18%"
"Jun 30, 2020","1.7405","1.7492","1.7558","1.7387","-0.59%"
"Jun 29, 2020","1.7508","1.7490","1.7580","1.7452","0.27%"
"Jun 26, 2020","1.7462","1.7452","1.7498","1.7400","0.07%"
