"Date","Price","Open","High","Low","Change %"
"Nov 20, 2013","4.4457","4.4420","4.4566","4.4297","-0.00%"
"Nov 19, 2013","4.4459","4.4473","4.4554","4.4364","-0.10%"
"Nov 18, 2013","4.4502","4.4457","4.4570","4.4384","-0.05%"
"Nov 15, 2013","4.4524","4.4493","4.4568","4.4415","-0.02%"
"Nov 14, 2013","4.4535","4.4577","4.4665","4.4419","-0.18%"
"Nov 13, 2013","4.4615","4.4518","4.4694","4.4462","0.14%"
"Nov 12, 2013","4.4552","4.4548","4.4634","4.4447","-0.06%"
"Nov 11, 2013","4.4580","4.4421","4.4607","4.4337","0.22%"
"Nov 08, 2013","4.4483","4.4420","4.4515","4.4176","0.06%"
"Nov 07, 2013","4.4455","4.4297","4.4500","4.3857","0.30%"
"Nov 06, 2013","4.4323","4.4394","4.4484","4.4225","-0.23%"
"Nov 05, 2013","4.4425","4.4347","4.4481","4.4316","0.08%"
"Nov 04, 2013","4.4389","4.4353","4.4557","4.4235","-0.06%"
"Nov 01, 2013","4.4414","4.4314","4.4496","4.4256","0.15%"
"Oct 31, 2013","4.4348","4.4267","4.4416","4.4188","0.11%"
"Oct 30, 2013","4.4300","4.4421","4.4467","4.4150","-0.19%"
"Oct 29, 2013","4.4384","4.4376","4.4472","4.4308","-0.07%"
"Oct 28, 2013","4.4415","4.4440","4.4502","4.4251","-0.09%"
"Oct 25, 2013","4.4457","4.4476","4.4603","4.4364","-0.11%"
"Oct 24, 2013","4.4508","4.4340","4.4558","4.4267","0.30%"
"Oct 23, 2013","4.4374","4.4231","4.4444","4.4181","0.21%"
"Oct 22, 2013","4.4279","4.4306","4.4572","4.4171","-0.14%"
"Oct 21, 2013","4.4340","4.4430","4.4556","4.4243","-0.29%"
"Oct 18, 2013","4.4471","4.4483","4.4573","4.4317","-0.10%"
"Oct 17, 2013","4.4516","4.4470","4.4587","4.4355","0.04%"
"Oct 16, 2013","4.4500","4.4382","4.4539","4.4343","0.11%"
"Oct 15, 2013","4.4450","4.4579","4.4683","4.4362","-0.36%"
"Oct 14, 2013","4.4610","4.4490","4.4736","4.4431","0.17%"
"Oct 11, 2013","4.4535","4.4497","4.4590","4.4405","-0.00%"
"Oct 10, 2013","4.4536","4.4591","4.4672","4.4437","-0.20%"
"Oct 09, 2013","4.4625","4.4382","4.4694","4.4330","0.48%"
"Oct 08, 2013","4.4413","4.4152","4.4454","4.4130","0.36%"
"Oct 07, 2013","4.4255","4.4206","4.4371","4.4107","-0.12%"
"Oct 04, 2013","4.4307","4.4330","4.4407","4.4187","-0.15%"
"Oct 03, 2013","4.4375","4.4384","4.4495","4.4180","-0.11%"
