"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","88.2143","87.5147","88.2619","87.5000","0.80%"
"Aug 20, 2020","87.5147","86.7906","87.8475","86.7906","0.83%"
"Aug 19, 2020","86.7906","87.2920","87.7840","86.7120","-0.57%"
"Aug 18, 2020","87.2920","87.4843","87.6004","86.8085","-0.22%"
"Aug 17, 2020","87.4843","86.2500","87.5208","86.2481","1.43%"
"Aug 14, 2020","86.2500","86.2000","86.7950","86.1475","0.06%"
"Aug 13, 2020","86.2000","86.8591","87.2228","86.1530","-0.76%"
"Aug 12, 2020","86.8591","85.8945","87.0500","85.7569","1.12%"
"Aug 11, 2020","85.8945","86.2575","86.2900","85.6583","-0.42%"
"Aug 10, 2020","86.2575","86.8838","87.0993","86.2000","-0.72%"
"Aug 07, 2020","86.8838","87.0273","87.3434","86.6752","-0.16%"
"Aug 06, 2020","87.0273","86.4540","87.2797","86.3221","0.66%"
"Aug 05, 2020","86.4540","86.7544","86.8149","86.3003","-0.35%"
"Aug 04, 2020","86.7544","86.0177","87.2547","85.9368","0.86%"
"Aug 03, 2020","86.0177","87.5547","87.6140","86.0000","-1.76%"
"Jul 31, 2020","87.5547","86.6705","87.9906","86.6500","1.02%"
"Jul 30, 2020","86.6705","85.6055","86.9493","85.6055","1.24%"
"Jul 29, 2020","85.6055","85.0505","85.8553","84.7709","0.65%"
"Jul 28, 2020","85.0505","84.0751","85.1903","84.0486","1.16%"
"Jul 27, 2020","84.0751","83.6000","84.4719","83.5890","0.57%"
"Jul 24, 2020","83.6000","82.8560","83.6364","82.7568","0.90%"
"Jul 23, 2020","82.8560","82.1923","82.9098","82.0770","0.81%"
"Jul 22, 2020","82.1923","81.5163","82.5526","81.4131","0.83%"
"Jul 21, 2020","81.5163","81.6777","81.6777","80.8677","-0.20%"
"Jul 20, 2020","81.6777","82.2244","82.5560","81.5197","-0.66%"
"Jul 17, 2020","82.2244","81.4886","82.2588","81.4886","0.90%"
"Jul 16, 2020","81.4886","80.9900","81.5595","80.9900","0.62%"
"Jul 15, 2020","80.9900","80.7697","81.2927","80.7317","0.27%"
"Jul 14, 2020","80.7697","80.5338","81.1500","80.3660","0.29%"
"Jul 13, 2020","80.5338","79.8848","80.6055","79.8802","0.81%"
"Jul 10, 2020","79.8848","80.0000","80.4722","79.8848","-0.14%"
"Jul 09, 2020","80.0000","80.6158","80.6657","79.9568","-0.76%"
"Jul 08, 2020","80.6158","80.5747","80.8696","80.1470","0.05%"
"Jul 07, 2020","80.5747","81.1675","81.6293","80.3656","-0.73%"
"Jul 06, 2020","81.1675","80.2918","81.5454","79.9660","1.09%"
"Jul 03, 2020","80.2918","79.3000","80.5665","79.1081","1.25%"
"Jul 02, 2020","79.3000","79.9575","79.9575","79.0660","-0.82%"
"Jun 30, 2020","79.9575","78.6890","80.1493","78.6850","1.61%"
"Jun 29, 2020","78.6890","78.3300","79.1955","78.3300","0.46%"
