"Date","Price","Open","High","Low","Change %"
"Nov 15, 2013","43.9570","44.0720","44.1010","43.8850","-0.29%"
"Nov 14, 2013","44.0830","44.1510","44.2230","43.8930","-0.20%"
"Nov 13, 2013","44.1710","44.1450","44.2810","43.8910","0.03%"
"Nov 12, 2013","44.1580","44.0080","44.2500","43.8710","0.32%"
"Nov 11, 2013","44.0150","43.6300","44.0460","43.5480","0.79%"
"Nov 08, 2013","43.6710","43.5500","43.8490","43.4550","0.26%"
"Nov 07, 2013","43.5570","43.7400","43.8580","43.0980","-0.43%"
"Nov 06, 2013","43.7470","43.8410","44.0110","43.6890","-0.24%"
"Nov 05, 2013","43.8530","43.7460","43.8810","43.6090","0.21%"
"Nov 04, 2013","43.7600","43.7750","43.8750","43.6260","-0.05%"
"Nov 01, 2013","43.7840","43.5700","43.8070","43.4280","0.46%"
"Oct 31, 2013","43.5830","43.9420","44.0490","43.5130","-0.85%"
"Oct 30, 2013","43.9550","44.1430","44.1870","43.8320","-0.45%"
"Oct 29, 2013","44.1540","43.9860","44.2700","43.9310","0.36%"
"Oct 28, 2013","43.9970","43.8860","44.0520","43.8610","0.18%"
"Oct 25, 2013","43.9160","43.7290","43.9400","43.6210","0.40%"
"Oct 24, 2013","43.7430","43.7320","43.8590","43.6140","0.00%"
"Oct 23, 2013","43.7420","43.6650","43.8140","43.5950","0.16%"
"Oct 22, 2013","43.6720","43.7390","43.8360","43.5850","-0.18%"
"Oct 21, 2013","43.7500","43.6050","43.7580","43.5120","0.32%"
"Oct 18, 2013","43.6120","43.5720","43.7310","43.4850","0.06%"
"Oct 17, 2013","43.5840","43.3800","43.7740","43.3470","0.45%"
"Oct 16, 2013","43.3880","43.6750","43.7360","43.2460","-0.68%"
"Oct 15, 2013","43.6850","43.7660","43.8380","43.4430","-0.21%"
"Oct 14, 2013","43.7770","43.6370","43.8910","43.6340","0.32%"
"Oct 11, 2013","43.6390","43.4890","43.8380","43.2810","0.32%"
"Oct 10, 2013","43.5010","43.7010","43.7790","43.4610","-0.49%"
"Oct 09, 2013","43.7140","43.9540","44.0730","43.6140","-0.60%"
"Oct 08, 2013","43.9780","43.7420","44.0690","43.6870","0.52%"
"Oct 07, 2013","43.7500","43.6050","43.9000","43.5920","0.28%"
"Oct 04, 2013","43.6280","43.7940","43.8460","43.5490","-0.42%"
"Oct 03, 2013","43.8110","43.7320","43.9260","43.5830","0.13%"
"Oct 02, 2013","43.7540","43.6080","43.8550","43.3840","0.30%"
"Oct 01, 2013","43.6210","43.7890","43.9020","43.5310","-0.45%"
"Sep 30, 2013","43.8200","43.5410","43.9510","43.5020","0.28%"
"Sep 27, 2013","43.6960","43.5990","43.9790","43.5010","0.18%"
"Sep 26, 2013","43.6160","43.3870","43.6660","43.3360","0.48%"
"Sep 25, 2013","43.4080","42.9460","43.4660","42.9030","1.05%"
"Sep 24, 2013","42.9570","42.9170","43.1080","42.8960","0.07%"
"Sep 23, 2013","42.9270","43.1520","43.2790","42.8400","-0.38%"
"Sep 20, 2013","43.0920","42.8230","43.1430","42.8160","0.60%"
"Sep 19, 2013","42.8330","42.9770","43.1020","42.6110","-0.37%"
"Sep 18, 2013","42.9900","43.0170","43.3920","42.9010","-0.08%"
"Sep 17, 2013","43.0260","43.0860","43.2540","42.9700","-0.17%"
"Sep 16, 2013","43.0990","43.1880","43.4480","43.0070","-0.14%"
"Sep 13, 2013","43.1590","43.4110","43.5700","43.0720","-0.61%"
"Sep 12, 2013","43.4250","43.6240","43.6890","43.3700","-0.50%"
"Sep 11, 2013","43.6420","43.7050","43.7790","43.4100","-0.16%"
"Sep 10, 2013","43.7130","43.9380","44.0120","43.6360","-0.54%"
